check,passed,severity,detail
pointer_hardening_status_expected,True,critical,OPERATIONAL_POINTER_CONVENTION_HARDENING_COMPLETED_CURRENT_OPERATIONAL_POINTER_CREATED_SCORING_DEFERRED
pointer_json_exists,True,critical,outputs\full_universe_source_acquisition\current_operational_universe_pointer.json
pointer_current_dataset_path_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
pointer_declared_rows_expected,True,critical,pointer_rows=43089
pointer_declared_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
current_dataset_exists,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_operational_rows_expected,True,critical,previous_rows=42708
previous_operational_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
headers_consistent_current_previous,True,critical,current_columns=33;previous_columns=33
headers_consistent_current_rollback,True,critical,current_columns=33;rollback_columns=33
current_bad_width_rows_zero,True,critical,bad_width_rows=0
previous_bad_width_rows_zero,True,critical,bad_width_rows=0
rollback_bad_width_rows_zero,True,critical,bad_width_rows=0
within_quality_floor,True,critical,current_rows=43089;floor=42000
within_quality_ceiling,True,critical,current_rows=43089;ceiling=45000
remaining_capacity_non_negative,True,critical,remaining_capacity=1911
new_rows_vs_previous_expected,True,warning,new_rows=381;expected=381
full_row_duplicates_zero,True,warning,duplicate_full_row_extra_rows=0;groups=0
primary_key_duplicates_documented,True,warning,duplicate_primary_key_extra_rows=34082;groups=9
instrument_suitability_flags_documented,True,warning,instrument_flag_total=9957;sample_rows=1000
identifier_columns_resolved,True,critical,"resolved_columns={'isin': 'isin', 'symbol': 'symbol', 'name': 'company_name', 'country': 'country', 'exchange': 'exchange', 'mic': 'mic', 'currency': 'currency', 'source_provider': 'source_provider', 'asset_type': 'asset_type'}"
country_or_exchange_dimension_resolved,True,critical,country=country;exchange=exchange;mic=mic
scoring_not_authorized,True,critical,scoring_authorized=False
scoring_not_executed,True,critical,scoring_executed=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
