row_number,matched_terms,isin,symbol,name,country,exchange,mic,currency,source_provider,severity
231,fund,,,Ares Capital Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
337,fund,,,ArrowMark Financial Corp. - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
357,fund,,,BCP Investment Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
545,fund,,,Calamos Dynamic Convertible & Income Fund - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
566,cdt,,,CDT Equity Inc. - Common Stock,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
567,cdt,,,CDT Environmental Technology Investment Holdings Limited - ordinary shares,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
594,fund,,,"Carlyle Secured Lending, Inc. - Closed End Fund",USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
600,fund,,,Calamos Global Total Return Fund - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
611,fund,,,Calamos Convertible Opportunities and Income Fund - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
623,fund,,,Calamos Global Dynamic Income Fund - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
624,fund,,,Calamos Convertible and High Income Fund - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
714,fund,,,Calamos Long/Short Equity & Dynamic Income Trust - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
754,fund,,,Calamos Strategic Total Return Fund - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
899,fund,,,Daxor Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1052,fund,,,Fidus Investment Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1161,fund,,,"Sprott Focus Trust, Inc. - Closed End Fund",USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1183,fund,,,"Golub Capital BDC, Inc. - Closed End Fund",USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1198,fund,,,Great Elm Capital Corp. - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1225,fund,,,Gladstone Capital Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1331,fund,,,"Herzfeld Credit Income Fund, Inc. - Closed End Fund",USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1710,preference share,,,Liberty Latin America Ltd. - 9.0% Fixed Rate Cumulative Perpetual Redeemable Series A Preference Shares,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1731,fund,,,"LM Funding America, Inc. - Common Stock",USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
1852,fund,,,MidCap Financial Investment Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
2014,etf,,,"Netflix, Inc. - Common Stock",USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
2052,fund,,,Neostellar Capital Corp. - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
2115,fund,,,"OFS Credit Company, Inc. - Closed End Fund",USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
2120,fund,,,Oaktree Specialty Lending Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
2131,fund,,,OFS Capital Corporation - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
2201,fund,,,Oxford Lane Capital Corp. - Closed End Fund,USA,NASDAQ,,,nasdaq_trader_nasdaqlisted,review
