metric,value
selected_route,Pre-scoring data quality audit via current operational pointer
phase_type,pre-scoring-data-quality-audit
audit_decision,AUDIT_COMPLETED_REVIEW_FINDINGS_DOCUMENTED
current_operational_pointer,outputs\full_universe_source_acquisition\current_operational_universe_pointer.json
current_operational_pointer_sha,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
previous_operational_base_rows,42708
previous_operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
quality_floor_target,42000
quality_ceiling_target,45000
remaining_capacity,1911
new_rows_vs_previous_operational_base,381
expected_new_rows_vs_previous_operational_base,381
current_column_count,33
bad_width_rows_current,0
bad_width_rows_previous,0
bad_width_rows_rollback,0
duplicate_full_row_groups,0
duplicate_full_row_extra_rows,0
duplicate_primary_key_groups,9
duplicate_primary_key_extra_rows,34082
instrument_suitability_flag_rows,9957
instrument_suitability_flag_sample_rows,1000
blocking_quality_findings,1
resolved_isin_column,isin
resolved_symbol_column,symbol
resolved_name_column,company_name
resolved_country_column,country
resolved_exchange_column,exchange
resolved_mic_column,mic
resolved_currency_column,currency
resolved_source_provider_column,source_provider
resolved_asset_type_column,asset_type
approved_for_scoring_dry_run,False
scoring_authorized,False
scoring_executed,False
scoring_output_created,False
canonical_dataset_modified,False
active_canonical_replaced,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.22C_REVIEW - Pre-Scoring Quality Findings Review
secondary_next_phase,v2.22D - Scoring Dry Run / No Promotion
