check,passed,severity,detail
audit_status_expected,True,critical,PRE_SCORING_DATA_QUALITY_AUDIT_COMPLETED_REVIEW_FINDINGS_DOCUMENTED_SCORING_DRY_RUN_DEFERRED
audit_critical_failed_checks_zero,True,critical,critical_failed_checks=0
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_rows_expected,True,critical,previous_rows=42708
previous_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
headers_consistent_current_previous,True,critical,current_columns=33;previous_columns=33
headers_consistent_current_rollback,True,critical,current_columns=33;rollback_columns=33
new_rows_total_expected,True,critical,new_rows=381
new_rows_singapore_expected,True,critical,singapore=358
new_rows_colombia_expected,True,critical,colombia=23
full_row_duplicates_zero,True,critical,extra_rows=0;groups=0
primary_key_duplicates_classified_non_blocking,True,critical,weak_key_false_positive=True
original_instrument_flags_classified_as_overbroad,True,critical,broad_substring_scan_overflagged=True
refined_instrument_residual_documented,True,warning,residual_review_required=9591
within_quality_floor,True,critical,current_rows=43089;floor=42000
within_quality_ceiling,True,critical,current_rows=43089;ceiling=45000
scoring_not_authorized,True,critical,scoring_authorized=False
scoring_not_executed,True,critical,scoring_executed=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
