row_number,classification,matched_terms,reason,isin,ticker,name,exchange,country,mic,currency,source_provider,asset_type,instrument_type,instrument_scope
231,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,ARCC,Ares Capital Corporation - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
337,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,BANX,ArrowMark Financial Corp. - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
357,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,BCIC,BCP Investment Corporation - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
545,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CCD,Calamos Dynamic Convertible & Income Fund - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
566,residual_review_required,certificate,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CDT,CDT Equity Inc. - Common Stock,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
567,residual_review_required,certificate,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CDTG,CDT Environmental Technology Investment Holdings Limited - ordinary shares,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
594,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CGBD,"Carlyle Secured Lending, Inc. - Closed End Fund",NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
600,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CGO,Calamos Global Total Return Fund - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
611,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CHI,Calamos Convertible Opportunities and Income Fund - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
623,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CHW,Calamos Global Dynamic Income Fund - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
624,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CHY,Calamos Convertible and High Income Fund - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
714,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CPZ,Calamos Long/Short Equity & Dynamic Income Trust - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
754,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,CSQ,Calamos Strategic Total Return Fund - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
899,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,DXR,Daxor Corporation - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
1052,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,FDUS,Fidus Investment Corporation - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
1161,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,FUND,"Sprott Focus Trust, Inc. - Closed End Fund",NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
1183,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,GBDC,"Golub Capital BDC, Inc. - Closed End Fund",NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
1198,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,GECC,Great Elm Capital Corp. - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
1225,non_blocking_in_scope_context,fund;closed_end_fund,Existing instrument scope is in-scope.,,GLAD,Gladstone Capital Corporation - Closed End Fund,NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,ADR,IN_SCOPE_ADR
1331,non_blocking_equity_context,fund;closed_end_fund,Common stock / ordinary share context.,,HERZ,"Herzfeld Credit Income Fund, Inc. - Closed End Fund",NASDAQ,USA,,,nasdaq_trader_nasdaqlisted,,COMMON_STOCK,IN_SCOPE
