metric,value
selected_route,Pre-scoring quality findings review
phase_type,pre-scoring-quality-findings-review
review_decision,FINDINGS_CLASSIFIED_RESIDUAL_REVIEW_REQUIRED
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
new_rows_vs_previous,381
new_rows_singapore,358
new_rows_colombia,23
duplicate_full_row_groups,0
duplicate_full_row_extra_rows,0
primary_key_duplicates_classified,weak_key_false_positive
original_instrument_flags,9957
original_instrument_flags_classification,broad_substring_scan_overflagged
refined_instrument_no_flag,33232
refined_instrument_non_blocking_equity_context,265
refined_instrument_non_blocking_in_scope_context,1
refined_instrument_residual_review_required,9591
colombia_asset_type_missing_rows,23
colombia_asset_type_missing_classification,accepted_source_limitation_reviewed
approved_for_scoring_dry_run_decision,True
approved_for_scoring_execution,False
scoring_authorized,False
scoring_executed,False
scoring_output_created,False
canonical_dataset_modified,False
active_canonical_replaced,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.22C2 - Residual Instrument Classification Review
secondary_next_phase,v2.22D - Scoring Dry Run / No Promotion
