check,passed,severity,detail
v2_25a_dry_run_authorized,True,critical,True
v2_25a_production_blocked,True,critical,False
promoted_sha_expected,True,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
promoted_rows_43089,True,critical,43089
legacy_contract_sha_expected,True,critical,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
reference_contract_sha_expected,True,critical,096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb
excluded_rows_9591,True,critical,9591
scorable_rows_33498,True,critical,33498
row_partition_exact,True,critical,9591+33498=43089
reference_row_identity_complete,True,critical,reference=33498;scored=33498;legacy=33498
all_scores_in_range,True,critical,min=44.5;max=98.5
formula_weights_sum_one,True,critical,1.0
attractiveness_not_invented,True,critical,all rows false/blank
promoted_artifact_unchanged,True,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
pointer_unchanged,True,critical,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
legacy_output_unchanged,True,critical,3eb0bc54d8f84e685274bb65e014010792ca76516996143e2f5c6c6be6420a76
reference_output_unchanged,True,critical,6ad303cb01bac2c222e072bea4926e066b0c396364b973a67bc91b335d6e6757
no_production_authorization,True,critical,False for all rows
no_promotion,True,critical,NOT_PROMOTED for all rows
openai_not_called,True,critical,False
broker_not_called,True,critical,False
full59k_deferred,True,critical,DEPRECATED_DEFERRED
