check,passed,severity,detail
v2_24g_status_expected,True,critical,METADATA_CLOSURE_REPORT_COMPLETED_V2_24_CLOSED_SCORING_READINESS_DEFERRED
promoted_rows_43089,True,critical,43089
promoted_sha_expected,True,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
metadata_improvements_56002,True,critical,56002
metadata_provenance_100pct,True,critical,100.0
metadata_overwrites_zero,True,critical,0
legacy_scoring_reference_expected,True,critical,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
redesigned_scoring_reference_expected,True,critical,096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb
active_pointer_unchanged,True,critical,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
controlled_dry_run_allowed_without_pointer_change,True,critical,v2.25B authorization scope only
production_scoring_remains_unauthorized,True,critical,False
scoring_remains_unpromoted,True,critical,False
canonical_dataset_not_modified,True,critical,False
promoted_metadata_artifact_not_modified,True,critical,False
scoring_outputs_not_modified,True,critical,False
openai_not_called,True,critical,False
broker_not_called,True,critical,False
full59k_deferred,True,critical,DEPRECATED_DEFERRED
