check,passed,severity,detail
v2_26a_policy_present,true,critical,d54c6b6f05e7e7c1d7628e7fb3ffda80ba88c1be
baseline_rows_43089,true,critical,43089
baseline_sha_expected,true,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
provider_buckets_14,true,critical,14
provider_rows_sum_43089,true,critical,43089
replayed_buckets_13,true,critical,13
replayed_rows_41076,true,critical,41076
missing_provider_hold_preserved,true,critical,2013 rows
all_replayed_provider_thresholds_pass,true,critical,13/13
logical_candidate_rows_43089,true,critical,43089
logical_candidate_sha_matches_baseline,true,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
zero_delta_expected,true,critical,added=0;removed=0;changed=0
unresolved_duplicates_zero,true,critical,0
candidate_not_operational,true,critical,False
no_new_physical_copy,true,critical,immutable reference only
operational_pointer_unchanged,true,critical,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
metadata_baseline_unchanged,true,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
scoring_pointer_unchanged,true,critical,c55df8e39dd78f3edbdee26d0e2d63c333aca639
production_scoring_authorized_false,true,critical,False
scoring_promoted_false,true,critical,False
openai_not_called,true,critical,False
broker_not_called,true,critical,False
full59k_deferred,true,critical,DEPRECATED_DEFERRED
live_freshness_not_verified,false,warning,No live fetch; replay evidence only
