source_provider,route_authorized,execution_mode,evidence,rows_covered,immutable_input,network_dependency,output_mode
ASX,true,REPOSITORY_ARTIFACT_REPLAY,ASX acquisition/validation artifacts,1316,true,false,LOGICAL_CANDIDATE_REFERENCE
sgx_structured_endpoint,true,REPOSITORY_ARTIFACT_REPLAY,Singapore structured endpoint artifacts,358,true,false,LOGICAL_CANDIDATE_REFERENCE
nasdaq_trader_nasdaqlisted,true,REPOSITORY_ARTIFACT_REPLAY,Nasdaq Trader listed artifacts,3244,true,false,LOGICAL_CANDIDATE_REFERENCE
nasdaq_trader_otherlisted,true,REPOSITORY_ARTIFACT_REPLAY,Nasdaq Trader other-listed artifacts,2404,true,false,LOGICAL_CANDIDATE_REFERENCE
sec_company_tickers_exchange,true,REPOSITORY_ARTIFACT_REPLAY,SEC company tickers exchange artifacts,2359,true,false,LOGICAL_CANDIDATE_REFERENCE
cboe_listed_symbols,true,REPOSITORY_ARTIFACT_REPLAY,Cboe listed-symbol artifacts,1193,true,false,LOGICAL_CANDIDATE_REFERENCE
jpx_listed_securities,true,REPOSITORY_ARTIFACT_REPLAY,JPX listed-securities artifacts,3705,true,false,LOGICAL_CANDIDATE_REFERENCE
deutsche_boerse_xetra_all_tradable_instruments,true,REPOSITORY_ARTIFACT_REPLAY,Xetra all-tradable artifacts,1424,true,false,LOGICAL_CANDIDATE_REFERENCE
TWSE,true,REPOSITORY_ARTIFACT_REPLAY,TWSE repaired raw and validation artifacts,696,true,false,LOGICAL_CANDIDATE_REFERENCE
cboe_europe_reference_data,true,REPOSITORY_ARTIFACT_REPLAY,Cboe Europe reference artifacts,21154,true,false,LOGICAL_CANDIDATE_REFERENCE
hkex_securities_list,true,REPOSITORY_ARTIFACT_REPLAY,HKEX securities-list artifacts,2804,true,false,LOGICAL_CANDIDATE_REFERENCE
HKEX,true,REPOSITORY_ARTIFACT_REPLAY,HKEX legacy acquisition artifacts,396,true,false,LOGICAL_CANDIDATE_REFERENCE
SFC_SIMEV_RNVE,true,REPOSITORY_ARTIFACT_REPLAY,SFC/SIMEV/RNVE targeted-market artifacts,23,true,false,LOGICAL_CANDIDATE_REFERENCE
__MISSING_PROVIDER__,false,SKIPPED_PROVENANCE_HOLD,No authorized provider route,2013,true,false,NO_OUTPUT_HOLD
