check,passed,severity,detail
v2_19r_report_exists,True,critical,outputs\full_universe_source_acquisition\hkex_closure_report_v2_19r.json
v2_19r_status_expected,True,critical,HKEX_CLOSURE_REPORT_COMPLETED_41392_ROWS_396_NET_NEW_50K_GATE_STILL_BLOCKED_NEXT_PROVIDER_SELECTION_READY_FULL59K_DEPRECATED
active_canonical_rows_expected,True,critical,active_canonical_rows=38287
current_candidate_rows_expected,True,critical,current_candidate_rows=40996
hkex_validated_candidate_rows_expected,True,critical,hkex_rows=41392
active_canonical_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
current_candidate_sha_expected,True,critical,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2
hkex_validated_candidate_sha_expected,True,critical,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
active_canonical_sha_unchanged,True,critical,active canonical sha unchanged
current_candidate_sha_unchanged,True,critical,current candidate sha unchanged
hkex_candidate_sha_unchanged,True,critical,HKEX validated candidate sha unchanged
quality_floor_target_expected,True,critical,quality_floor=42000
quality_ceiling_target_expected,True,critical,quality_ceiling=45000
aspirational_50k_not_operational,True,critical,50k retained as aspirational only
rows_needed_to_quality_floor_expected,True,critical,rows_needed_to_42k=608
rows_needed_to_quality_ceiling_expected,True,critical,rows_needed_to_45k=3608
rows_needed_to_aspirational_50k_expected,True,warning,rows_needed_to_50k=8608
selected_next_provider_asx,True,critical,ASX
selected_next_phase_asx_plan,True,critical,v2.20B - ASX Quality-First Acquisition Plan
quality_first_stop_rules_defined,True,critical,stop_rules=6
provider_ranking_defined,True,critical,providers_ranked=9
strategy_reset_only,True,critical,strategy reset only
dataset_not_modified,True,critical,no dataset writes in v2.20A
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
current_candidate_dataset_not_modified,True,critical,current_candidate_dataset_modified=False
hkex_candidate_dataset_not_modified,True,critical,hkex_candidate_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
acquisition_not_performed,True,critical,raw_acquisition_performed=False
candidate_extraction_not_performed,True,critical,candidate_extraction_performed=False
scoring_not_recalculated,True,critical,scoring_recalculated=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
