ASX_CODE,LAST_PRICE,ISSUER_NAME_FULL,SECURITY_GROUP_CODE,PRODUCT_DESCRIPTION_ABBREV,BUSINESS_DATE
360,26.7,LIFE360 INC.,EQY,CDI 3:1 FOR. EXEMPT,30/06/2026
10X,0.165,EXULTANT MINING LIMITED,EQY,ORDINARY,30/06/2026
14D,0.09,1414 DEGREES LIMITED,EQY,ORDINARY,30/06/2026
14DOA,0.05,1414 DEGREES LIMITED,COP,OPTION 29-JAN-28,30/06/2026
1AD,0.003,ADALTA LIMITED,EQY,ORDINARY,30/06/2026
1ADO,0.001,ADALTA LIMITED,COP,OPTION 03-JUN-28,29/06/2026
1AE,0.055,AURORA ENERGY METALS LIMITED,EQY,ORDINARY,30/06/2026
1AI,0.01,ALGORAE PHARMACEUTICALS LIMITED,EQY,ORDINARY,30/06/2026
1CG,0.01,ONE CLICK GROUP LIMITED,EQY,ORDINARY,30/06/2026
1CGO,0.001,ONE CLICK GROUP LIMITED,COP,OPTION 17-NOV-26,25/05/2026
1GOV,51.53,VANECK 1-5 YEAR AUSTRALIAN GOVERNMENT BOND ETF,EQY,ETF UNITS,30/06/2026
1MC,0.025,MORELLA CORPORATION LIMITED,EQY,ORDINARY,30/06/2026
1TT,0.003,THRIVE TRIBE TECHNOLOGIES LIMITED,EQY,ORDINARY,30/06/2026
1TTO,0.001,THRIVE TRIBE TECHNOLOGIES LIMITED,COP,OPTION 15-JUN-29,30/06/2026
28BB,24.9,BETASHARES 2028 FIXED TERM CORP BOND ACTIVE ETF,EQY,ETF UNITS,30/06/2026
29BB,24.78,BETASHARES 2029 FIXED TERM CORP BOND ACTIVE ETF,EQY,ETF UNITS,30/06/2026
29M,0.255,29METALS LIMITED,EQY,ORDINARY,30/06/2026
30BB,24.7,BETASHARES 2030 FIXED TERM CORP BOND ACTIVE ETF,EQY,ETF UNITS,30/06/2026
31BB,25.36,BETASHARES 2031 FIXED TERM CORP BOND ACTIVE ETF,EQY,ETF UNITS,16/06/2026
360JOB,,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW FEB36 9.4346 IM,
360JOC,,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW FEB36 17.50 IM,
360JOD,,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW FEB36 14.18 IM,
360KOA,10.16,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 17.2698 MINIL,30/06/2026
360KOB,46.4,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 3.8882 MINIL,27/10/2025
360KOC,7.49,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 10.3908 MINIL,13/04/2026
360KOD,14.43,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 13.2927 MINIL,30/06/2026
360KOE,15.85,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 11.7266 MINIL,30/06/2026
360KOF,9.35,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 16.7811 MINIL,29/06/2026
360KOP,,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 37.225 MINIS,
360KOQ,10.29,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 35.0892 MINIS,14/05/2026
360KOR,6.97,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 35.8392 MINIS,11/06/2026
3DA,0.25,AMAERO INC.,EQY,CDI 40:1,30/06/2026
3DP,0.028,POINTERRA LIMITED,EQY,ORDINARY,30/06/2026
3PL,0.3,3P LEARNING LIMITED..,EQY,ORDINARY,30/06/2026
49M,0.095,49 METALS LIMITED,EQY,ORDINARY,30/06/2026
4DS,0.011,4DS MEMORY LIMITED,EQY,ORDINARY,24/04/2026
4DX,4.53,4DMEDICAL LIMITED,EQY,ORDINARY,30/06/2026
4DXKOA,2.25,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 2.2582 MINIL,30/06/2026
4DXKOB,1.91,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 2.6408 MINIL,30/06/2026
4DXKOC,2.92,CITIGROUP GLOBAL MARKETS AUS PTY LTD,WAR,CTW 1.6936 MINIL,29/06/2026
