environment=PROD,created=2026-07-07,time=22:58Z,warning=
tick_type,min_price,tick_size
ed-ESMAA,0.00050000,0.00050000
ed-ESMAA,0.10000000,0.00100000
ed-ESMAA,0.20000000,0.00200000
ed-ESMAA,0.50000000,0.00500000
ed-ESMAA,1.00000000,0.01000000
ed-ESMAA,2.00000000,0.02000000
ed-ESMAA,5.00000000,0.05000000
ed-ESMAA,10.00000000,0.10000000
ed-ESMAA,20.00000000,0.20000000
ed-ESMAA,50.00000000,0.50000000
ed-ESMAA,100.00000000,1.00000000
ed-ESMAA,200.00000000,2.00000000
ed-ESMAA,500.00000000,5.00000000
ed-ESMAA,1000.00000000,10.00000000
ed-ESMAA,2000.00000000,20.00000000
ed-ESMAA,5000.00000000,50.00000000
ed-ESMAA,10000.00000000,100.00000000
ed-ESMAA,20000.00000000,200.00000000
ed-ESMAA,50000.00000000,500.00000000
ed-ESMAA,999500.00000000,
ed-ESMAB,0.00020000,0.00020000
ed-ESMAB,0.10000000,0.00050000
ed-ESMAB,0.20000000,0.00100000
ed-ESMAB,0.50000000,0.00200000
ed-ESMAB,1.00000000,0.00500000
ed-ESMAB,2.00000000,0.01000000
ed-ESMAB,5.00000000,0.02000000
ed-ESMAB,10.00000000,0.05000000
ed-ESMAB,20.00000000,0.10000000
ed-ESMAB,50.00000000,0.20000000
ed-ESMAB,100.00000000,0.50000000
ed-ESMAB,200.00000000,1.00000000
ed-ESMAB,500.00000000,2.00000000
ed-ESMAB,1000.00000000,5.00000000
ed-ESMAB,2000.00000000,10.00000000
ed-ESMAB,5000.00000000,20.00000000
ed-ESMAB,10000.00000000,50.00000000
ed-ESMAB,20000.00000000,100.00000000
ed-ESMAB,50000.00000000,200.00000000
ed-ESMAB,999800.00000000,
ed-ESMAC,0.00010000,0.00010000
ed-ESMAC,0.10000000,0.00020000
ed-ESMAC,0.20000000,0.00050000
ed-ESMAC,0.50000000,0.00100000
ed-ESMAC,1.00000000,0.00200000
ed-ESMAC,2.00000000,0.00500000
ed-ESMAC,5.00000000,0.01000000
ed-ESMAC,10.00000000,0.02000000
ed-ESMAC,20.00000000,0.05000000
ed-ESMAC,50.00000000,0.10000000
ed-ESMAC,100.00000000,0.20000000
ed-ESMAC,200.00000000,0.50000000
ed-ESMAC,500.00000000,1.00000000
ed-ESMAC,1000.00000000,2.00000000
ed-ESMAC,2000.00000000,5.00000000
ed-ESMAC,5000.00000000,10.00000000
ed-ESMAC,10000.00000000,20.00000000
ed-ESMAC,20000.00000000,50.00000000
ed-ESMAC,50000.00000000,100.00000000
ed-ESMAC,999900.00000000,
ed-ESMAD,0.00010000,0.00010000
ed-ESMAD,0.20000000,0.00020000
ed-ESMAD,0.50000000,0.00050000
ed-ESMAD,1.00000000,0.00100000
ed-ESMAD,2.00000000,0.00200000
ed-ESMAD,5.00000000,0.00500000
ed-ESMAD,10.00000000,0.01000000
ed-ESMAD,20.00000000,0.02000000
ed-ESMAD,50.00000000,0.05000000
ed-ESMAD,100.00000000,0.10000000
ed-ESMAD,200.00000000,0.20000000
ed-ESMAD,500.00000000,0.50000000
ed-ESMAD,1000.00000000,1.00000000
ed-ESMAD,2000.00000000,2.00000000
ed-ESMAD,5000.00000000,5.00000000
ed-ESMAD,10000.00000000,10.00000000
ed-ESMAD,20000.00000000,20.00000000
ed-ESMAD,50000.00000000,50.00000000
ed-ESMAD,999950.00000000,
ed-ESMAE,0.00010000,0.00010000
ed-ESMAE,0.50000000,0.00020000
ed-ESMAE,1.00000000,0.00050000
ed-ESMAE,2.00000000,0.00100000
ed-ESMAE,5.00000000,0.00200000
