check,passed,severity,detail
review_status_expected,True,critical,PRE_SCORING_QUALITY_FINDINGS_REVIEW_COMPLETED_RESIDUAL_REVIEW_REQUIRED_SCORING_DRY_RUN_DEFERRED
review_critical_failed_checks_zero,True,critical,critical_failed_checks=0
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_rows_expected,True,critical,previous_rows=42708
previous_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
full_dataset_residual_rows_expected,True,critical,residual_rows=9591;expected=9591
full_dataset_no_flag_rows_expected,True,critical,no_flag_rows=33232;expected=33232
non_blocking_equity_rows_expected,True,critical,non_blocking_equity=265;expected=265
non_blocking_scope_rows_expected,True,critical,non_blocking_scope=1;expected=1
classification_overlay_rows_expected,True,critical,overlay_rows=9857
excluded_rows_documented,True,critical,excluded_rows=9591
unknown_rows_documented,True,warning,unknown_total=0;missing_metadata=0;manual=0
within_quality_floor,True,critical,current_rows=43089;floor=42000
within_quality_ceiling,True,critical,current_rows=43089;ceiling=45000
scoring_not_authorized,True,critical,scoring_authorized=False
scoring_not_executed,True,critical,scoring_executed=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
dataset_not_modified,True,critical,current_sha_after=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
