metric,value
selected_route,Full-dataset residual instrument classification review before scoring dry run
phase_type,residual-instrument-classification-review
classification_decision,FULL_DATASET_POLICY_OVERLAY_READY
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
refined_full_dataset_no_flag_rows,33232
refined_full_dataset_non_blocking_equity_context_rows,265
refined_full_dataset_non_blocking_in_scope_context_rows,1
refined_full_dataset_residual_review_required_rows,9591
expected_residual_review_required_rows,9591
classification_overlay_rows,9857
excluded_from_common_equity_scoring_rows,9591
classification_unknown_missing_instrument_metadata_rows,0
classification_unknown_manual_review_required_rows,0
classification_unknown_total_rows,0
approved_for_scoring_dry_run_decision,True
approved_for_scoring_execution,False
scoring_authorized,False
scoring_executed,False
scoring_output_created,False
canonical_dataset_modified,False
active_canonical_replaced,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.22D - Scoring Dry Run / No Promotion
secondary_next_phase,v2.22D - Scoring Dry Run / No Promotion
