check,passed,severity,detail
metadata_plan_status_expected,True,critical,METADATA_COVERAGE_IMPROVEMENT_PLAN_COMPLETED_NO_DATASET_MODIFICATION
metadata_plan_critical_failed_checks_zero,True,critical,critical_failed_checks=0
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
scoring_rows_expected,True,critical,scoring_rows=33498
scoring_sha_expected,True,critical,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
score_range_expected,True,critical,min=44.7;max=87.2
label_schema_created,True,critical,label_schema_rows=6
sample_plan_created,True,critical,sample_plan_rows=16
strata_profile_created,True,critical,strata_rows=16
acceptance_criteria_created,True,critical,acceptance_criteria_rows=5
manual_labels_not_created,True,critical,manual_labels_created=False
production_scoring_not_authorized,True,critical,production_scoring_authorized=False
new_scoring_not_executed,True,critical,new_scoring_executed=False
metadata_backfill_not_executed,True,critical,metadata_backfill_executed=False
canonical_dataset_not_modified,True,critical,current_sha_after=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
dry_run_score_output_not_modified,True,critical,scoring_sha_after=a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
