score_bucket,source_provider,rows,country_missing_rows,country_missing_pct,asset_type_missing_rows,asset_type_missing_pct,recommended_manual_review_priority
D_40_54,cboe_europe_reference_data,11790,11790,100.0,11790,100.0,high
B_70_84,jpx_listed_securities,3704,0,0.0,3704,100.0,high
C_55_69,nasdaq_trader_nasdaqlisted,3241,0,0.0,3241,100.0,high
B_70_84,hkex_securities_list,2772,0,0.0,2772,100.0,high
C_55_69,nasdaq_trader_otherlisted,2371,0,0.0,2371,100.0,high
D_40_54,sec_company_tickers_exchange,2217,0,0.0,2217,100.0,high
D_40_54,__MISSING_PROVIDER__,2013,0,0.0,0,0.0,medium
B_70_84,deutsche_boerse_xetra_all_tradable_instruments,1424,0,0.0,0,0.0,medium
A_85_100,ASX,1282,0,0.0,0,0.0,medium
D_40_54,cboe_listed_symbols,1193,0,0.0,1193,100.0,high
B_70_84,TWSE,696,0,0.0,696,100.0,high
C_55_69,HKEX,379,0,0.0,379,100.0,high
B_70_84,sgx_structured_endpoint,358,0,0.0,0,0.0,medium
C_55_69,hkex_securities_list,32,0,0.0,32,100.0,high
B_70_84,SFC_SIMEV_RNVE,19,0,0.0,19,100.0,high
B_70_84,ASX,7,0,0.0,0,0.0,medium
