metric,value
selected_route,Scoring calibration data design before formula redesign
phase_type,scoring-calibration-data-design
calibration_data_decision,CALIBRATION_DATA_DESIGN_CREATED_NO_LABELS_NO_SCORING
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
dry_run_scoring_output,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv
dry_run_scoring_output_rows,33498
dry_run_scoring_output_sha,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
dry_run_score_min,44.7
dry_run_score_max,87.2
label_schema_rows,6
sample_plan_rows,16
strata_profile_rows,16
acceptance_criteria_rows,5
target_manual_review_rows,350
manual_labels_created,False
production_scoring_authorized,False
new_scoring_executed,False
metadata_backfill_executed,False
canonical_dataset_modified,False
dry_run_score_output_modified,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.23D - Scoring Formula Redesign Dry Run
secondary_next_phase,v2.23E - Calibration Review / Freeze Decision
