metric,value
selected_route,Local heuristic scoring dry run using v2.22C2 exclusion overlay
phase_type,scoring-dry-run-no-promotion
dry_run_decision,SCORING_DRY_RUN_CREATED_PROMOTION_DEFERRED
current_operational_pointer,outputs\full_universe_source_acquisition\current_operational_universe_pointer.json
current_operational_pointer_sha,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
classification_review,outputs\full_universe_source_acquisition\residual_instrument_classification_review_v2_22c2.json
classification_review_sha,c50e537589699960d791ab4c0b660250d7956c08c19ae306ee23d3f416e667e4
classification_overlay,outputs\full_universe_source_acquisition\residual_instrument_classification_review_classification_v2_22c2.csv
classification_overlay_rows,9857
classification_overlay_sha,b9830ee5c6781e414508fcb166779e84324244182889c8b681e610a397d61b26
excluded_from_common_equity_scoring_rows,9591
scorable_rows,33498
scoring_output,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv
scoring_output_rows,33498
scoring_output_sha,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
score_min,44.7
score_p25,45.1
score_median,52.2
score_p75,74.7667
score_max,87.2
score_mean,58.2468
top_exchange_by_scorable_rows,CBOE_EUROPE
top_country_by_scorable_rows,__MISSING__
top_source_provider_by_scorable_rows,cboe_europe_reference_data
dry_run_scoring_authorized,True
dry_run_scoring_executed,True
approved_for_promotion,False
scoring_promoted,False
production_scoring_authorized,False
canonical_dataset_modified,False
active_canonical_replaced,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.22E - Scoring Promotion / Freeze Decision
secondary_next_phase,v2.22F - Repo Hygiene / Untracked Files Review
