metric,value
selected_route,Redesigned deterministic scoring formula dry run only
phase_type,scoring-formula-redesign-dry-run
formula_decision,REDESIGNED_SCORING_DRY_RUN_CREATED_NO_PROMOTION
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
legacy_dry_run_scoring_output,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv
legacy_dry_run_scoring_output_rows,33498
legacy_dry_run_scoring_output_sha,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
redesigned_scoring_output,outputs\full_universe_source_acquisition\scoring_formula_redesign_dry_run_scores_v2_23d.csv
redesigned_scoring_output_rows,33498
redesigned_scoring_output_sha,096ab26fc05bf9f37d80d99ea934f41be12126b10295e506180bb5eb8ebb7edb
legacy_score_mean,58.2468
redesigned_score_min,38.5
redesigned_score_p25,44.5
redesigned_score_median,60.2
redesigned_score_p75,66.6
redesigned_score_max,98.5
redesigned_score_mean,60.6008
mean_delta_vs_v2_22d,2.354
component_weights,"{""attractiveness_score"": 0.0, ""data_quality_score"": 0.7, ""provider_quality_score"": 0.1, ""scope_confidence_score"": 0.2}"
data_quality_score_separated,True
attractiveness_score_available,False
attractiveness_score_invented,False
manual_labels_created,False
production_scoring_authorized,False
scoring_promoted,False
canonical_dataset_modified,False
legacy_score_output_modified,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.23E - Calibration Review / Freeze Decision
secondary_next_phase,v2.23F - Calibration Closure Report
