check,passed,severity,detail
hygiene_status_expected,True,critical,REPO_HYGIENE_UNTRACKED_FILES_REVIEW_COMPLETED_UNTRACKED_FILES_CLASSIFIED_NO_AUTO_ADD
hygiene_critical_failed_checks_zero,True,critical,critical_failed_checks=0
freeze_status_expected,True,critical,SCORING_PROMOTION_FREEZE_DECISION_COMPLETED_DRY_RUN_FROZEN_NOT_PROMOTED
freeze_critical_failed_checks_zero,True,critical,critical_failed_checks=0
dry_run_status_expected,True,critical,SCORING_DRY_RUN_NO_PROMOTION_COMPLETED_LOCAL_HEURISTIC_SCORES_CREATED_PROMOTION_DEFERRED
dry_run_critical_failed_checks_zero,True,critical,critical_failed_checks=0
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
scoring_rows_expected,True,critical,scoring_rows=33498
scoring_sha_expected,True,critical,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
distribution_rows_expected,True,critical,distribution_rows=5
components_rows_expected,True,critical,components_rows=6
calibration_requirements_defined,True,critical,requirements=6
calibration_phases_defined,True,critical,phases=4
calibration_risks_defined,True,critical,risks=4
production_scoring_not_authorized,True,critical,production_scoring_authorized=False
scoring_not_executed_in_this_phase,True,critical,new_scoring_executed=False
promotion_not_performed,True,critical,promotion_performed=False
canonical_dataset_not_modified,True,critical,current_sha_after=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
dry_run_score_output_not_modified,True,critical,scoring_sha_after=a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
