metric,value
selected_route,Scoring model calibration roadmap before production scoring
phase_type,scoring-model-calibration-roadmap
calibration_decision,PRODUCTION_SCORING_DEFERRED_CALIBRATION_REQUIRED
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
dry_run_scoring_report,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_v2_22d.json
dry_run_scoring_report_sha,bda7bf87eb5038606887cb97a3011c7d3bda1909864e94189001873bb0f773ae
dry_run_scoring_output,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv
dry_run_scoring_output_rows,33498
dry_run_scoring_output_sha,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
dry_run_score_min,44.7
dry_run_score_p25,45.1
dry_run_score_median,52.2
dry_run_score_p75,74.7667
dry_run_score_max,87.2
dry_run_score_mean,58.2468
top_exchange_by_scorable_rows,CBOE_EUROPE
top_country_by_scorable_rows,__MISSING__
top_source_provider_by_scorable_rows,cboe_europe_reference_data
requirements_defined,6
calibration_phases_defined,4
risks_defined,4
production_scoring_authorized,False
new_scoring_executed,False
scoring_promoted,False
canonical_dataset_modified,False
dry_run_score_output_modified,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.23B - Metadata Coverage Improvement Plan
secondary_next_phase,v2.23C - Scoring Calibration Data Design
