check,passed,severity,detail
dry_run_status_expected,True,critical,SCORING_DRY_RUN_NO_PROMOTION_COMPLETED_LOCAL_HEURISTIC_SCORES_CREATED_PROMOTION_DEFERRED
dry_run_critical_failed_checks_zero,True,critical,critical_failed_checks=0
pointer_current_dataset_expected,True,critical,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_rows_expected,True,critical,current_rows=43089
current_sha_expected,True,critical,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
scoring_rows_expected,True,critical,scoring_rows=33498
excluded_rows_expected,True,critical,excluded=9591
score_min_expected,True,critical,score_min=44.7
score_median_expected,True,critical,score_median=52.2
score_max_expected,True,critical,score_max=87.2
score_mean_expected,True,critical,score_mean=58.2468
distribution_rows_expected,True,critical,distribution_rows=5
component_rows_expected,True,critical,component_rows=6
excluded_summary_rows_expected,True,critical,excluded_summary_rows=16
promotion_not_approved,True,critical,promotion_approved=False
scoring_not_promoted,True,critical,scoring_promoted=False
production_scoring_not_authorized,True,critical,production_scoring_authorized=False
canonical_dataset_not_modified,True,critical,current_sha_after=9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
