metric,value
selected_route,Scoring dry-run promotion/freeze decision
phase_type,scoring-promotion-freeze-decision
promotion_decision,FREEZE_DRY_RUN_SCORE_OUTPUT_AS_NON_PROMOTED_REFERENCE
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
scoring_dry_run_report,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_v2_22d.json
scoring_dry_run_report_sha,bda7bf87eb5038606887cb97a3011c7d3bda1909864e94189001873bb0f773ae
scoring_output,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv
scoring_output_rows,33498
scoring_output_sha,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
score_min,44.7
score_p25,45.1
score_median,52.2
score_p75,74.7667
score_max,87.2
score_mean,58.2468
excluded_from_common_equity_scoring_rows,9591
scorable_rows,33498
top_exchange_by_scorable_rows,CBOE_EUROPE
top_country_by_scorable_rows,__MISSING__
top_source_provider_by_scorable_rows,cboe_europe_reference_data
dry_run_scoring_authorized,True
dry_run_scoring_executed,True
promotion_approved,False
scoring_promoted,False
production_scoring_authorized,False
canonical_dataset_modified,False
active_canonical_replaced,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.22F - Repo Hygiene / Untracked Files Review
secondary_next_phase,v2.23A - Scoring Model Calibration Roadmap
