ticker,company_name,exchange,raw_cik,source_provider,sec_classification,coverage_status,instrument_type,instrument_scope,classification_confidence
NVDA,NVIDIA CORP,NASDAQ,1045810,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
GOOGL,Alphabet Inc.,NASDAQ,1652044,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AAPL,Apple Inc.,NASDAQ,320193,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MSFT,MICROSOFT CORP,NASDAQ,789019,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AMZN,AMAZON COM INC,NASDAQ,1018724,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AVGO,Broadcom Inc.,NASDAQ,1730168,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
TSLA,"Tesla, Inc.",NASDAQ,1318605,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
META,"Meta Platforms, Inc.",NASDAQ,1326801,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MU,MICRON TECHNOLOGY INC,NASDAQ,723125,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
LLY,ELI LILLY & Co,NYSE,59478,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
JPM,JPMORGAN CHASE & CO,NYSE,19617,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AMD,ADVANCED MICRO DEVICES INC,NASDAQ,2488,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
WMT,Walmart Inc.,NASDAQ,104169,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ASML,ASML HOLDING NV,NASDAQ,937966,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
V,VISA INC.,NYSE,1403161,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
INTC,INTEL CORP,NASDAQ,50863,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
JNJ,JOHNSON & JOHNSON,NYSE,200406,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
XOM,EXXON MOBIL CORP,NYSE,34088,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AMAT,APPLIED MATERIALS INC /DE,NASDAQ,6951,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
LRCX,LAM RESEARCH CORP,NASDAQ,707549,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MA,Mastercard Inc,NYSE,1141391,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
CSCO,"CISCO SYSTEMS, INC.",NASDAQ,858877,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
CAT,CATERPILLAR INC,NYSE,18230,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ABBV,AbbVie Inc.,NYSE,1551152,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
BAC,BANK OF AMERICA CORP /DE/,NYSE,70858,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ORCL,ORACLE CORP,NYSE,1341439,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
COST,COSTCO WHOLESALE CORP /NEW,NASDAQ,909832,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
GE,GENERAL ELECTRIC CO,NYSE,40545,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
UNH,UNITEDHEALTH GROUP INC,NYSE,731766,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
HD,"HOME DEPOT, INC.",NYSE,354950,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
KO,COCA COLA CO,NYSE,21344,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
KLAC,KLA CORP,NASDAQ,319201,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
PG,PROCTER & GAMBLE Co,NYSE,80424,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MS,MORGAN STANLEY,NYSE,895421,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
CVX,CHEVRON CORP,NYSE,93410,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
HSBC,HSBC HOLDINGS PLC,NYSE,1089113,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
NFLX,NETFLIX INC,NASDAQ,1065280,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MRK,"Merck & Co., Inc.",NYSE,310158,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
GEV,GE Vernova Inc.,NYSE,1996810,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
PLTR,Palantir Technologies Inc.,NASDAQ,1321655,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
SNDK,Sandisk Corp,NASDAQ,2023554,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
GS,GOLDMAN SACHS GROUP INC,NYSE,886982,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
NVS,NOVARTIS AG,NYSE,1114448,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
RY,ROYAL BANK OF CANADA,NYSE,1000275,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
PANW,Palo Alto Networks Inc,NASDAQ,1327567,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AZN,ASTRAZENECA PLC,NYSE,901832,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
PM,Philip Morris International Inc.,NYSE,1413329,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
DELL,Dell Technologies Inc.,NYSE,1571996,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
TXN,TEXAS INSTRUMENTS INC,NASDAQ,97476,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
IBM,INTERNATIONAL BUSINESS MACHINES CORP,NYSE,51143,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
WFC,WELLS FARGO & COMPANY/MN,NYSE,72971,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
RTX,RTX Corp,NYSE,101829,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
LIN,LINDE PLC,NASDAQ,1707925,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
C,CITIGROUP INC,NYSE,831001,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MRVL,"Marvell Technology, Inc.",NASDAQ,1835632,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AXP,AMERICAN EXPRESS CO,NYSE,4962,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,NYSE,67088,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
NVO,NOVO NORDISK A S,NYSE,353278,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
APH,AMPHENOL CORP /DE/,NYSE,820313,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ANET,"Arista Networks, Inc.",NYSE,1596532,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
STX,Seagate Technology Holdings plc,NASDAQ,1137789,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
WDC,WESTERN DIGITAL CORP,NASDAQ,106040,sec_company_tickers_exchange,PRIMARY_EXCHANGE_CANDIDATE,PRIMARY_OVERLAP_EXISTING,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
