append_order,row_number_in_promoted_dataset,country_confirmed,country_code_confirmed,country_code_columns_present,exchange_confirmed,mic_confirmed,currency_confirmed,symbol_key,name_key,isin_key,source_columns_present
1,42709,True,True,0,True,True,True,0845,lvr,,7
2,42710,True,True,0,True,True,True,0033,1y1,,7
3,42711,True,True,0,True,True,True,0098,bqc,,7
4,42712,True,True,0,True,True,True,0595,btj,,7
5,42713,True,True,0,True,True,True,0415,533,,7
6,42714,True,True,0,True,True,True,0025,541,,7
7,42715,True,True,0,True,True,True,0189,570,,7
8,42716,True,True,0,True,True,True,0062,qzg,,7
9,42717,True,True,0,True,True,True,0029,5fw,,7
10,42718,True,True,0,True,True,True,0084,ayv,,7
11,42719,True,True,0,True,True,True,0230,xzl,,7
12,42720,True,True,0,True,True,True,0014,43f,,7
13,42721,True,True,0,True,True,True,0149,a31,,7
14,42722,True,True,0,True,True,True,0154,blz,,7
15,42723,True,True,0,True,True,True,0003,wj9,,7
16,42724,True,True,0,True,True,True,9640,awx,,7
17,42725,True,True,0,True,True,True,1500,o5ru,,7
18,42726,True,True,0,True,True,True,2500,tatd,,7
19,42727,True,True,0,True,True,True,0005,584,,7
20,42728,True,True,0,True,True,True,4020,hbbd,,7
21,42729,True,True,0,True,True,True,0460,alk,,7
22,42730,True,True,0,True,True,True,0165,mij,,7
23,42731,True,True,0,True,True,True,0495,m1gu,,7
24,42732,True,True,0,True,True,True,0021,40v,,7
25,42733,True,True,0,True,True,True,83310,amq,,7
26,42734,True,True,0,True,True,True,0117,s9b,,7
27,42735,True,True,0,True,True,True,0023,aof,,7
28,42736,True,True,0,True,True,True,3390,hkb,,7
29,42737,True,True,0,True,True,True,0019,y35,,7
30,42738,True,True,0,True,True,True,0370,btx,,7
31,42739,True,True,0,True,True,True,0058,a52,,7
32,42740,True,True,0,True,True,True,0015,jfq,,7
33,42741,True,True,0,True,True,True,0240,1d4,,7
34,42742,True,True,0,True,True,True,0135,5au,,7
35,42743,True,True,0,True,True,True,0635,cln,,7
36,42744,True,True,0,True,True,True,0220,awg,,7
37,42745,True,True,0,True,True,True,0140,a55,,7
38,42746,True,True,0,True,True,True,0085,5re,,7
39,42747,True,True,0,True,True,True,0004,585,,7
40,42748,True,True,0,True,True,True,0083,s7ou,,7
41,42749,True,True,0,True,True,True,0009,5wv,,7
42,42750,True,True,0,True,True,True,0325,a04,,7
43,42751,True,True,0,True,True,True,0026,1f3,,7
44,42752,True,True,0,True,True,True,0144,a30,,7
45,42753,True,True,0,True,True,True,0385,5uf,,7
46,42754,True,True,0,True,True,True,0139,575,,7
47,42755,True,True,0,True,True,True,0105,5ul,,7
48,42756,True,True,0,True,True,True,0205,53w,,7
49,42757,True,True,0,True,True,True,2690,x5n,,7
50,42758,True,True,0,True,True,True,16880,avp,,7
51,42759,True,True,0,True,True,True,0210,1r6,,7
52,42760,True,True,0,True,True,True,10500,bbw,,7
53,42761,True,True,0,True,True,True,0605,8az,,7
54,42762,True,True,0,True,True,True,0006,9qx,,7
55,42763,True,True,0,True,True,True,0002,yyb,,7
56,42764,True,True,0,True,True,True,1790,hbud,,7
57,42765,True,True,0,True,True,True,0465,btp,,7
58,42766,True,True,0,True,True,True,0860,hbnd,,7
59,42767,True,True,0,True,True,True,0550,b58,,7
60,42768,True,True,0,True,True,True,0930,ibkd,,7
61,42769,True,True,0,True,True,True,0245,kj5,,7
62,42770,True,True,0,True,True,True,1510,tbdd,,7
63,42771,True,True,0,True,True,True,0480,bez,,7
64,42772,True,True,0,True,True,True,0087,bqn,,7
65,42773,True,True,0,True,True,True,0450,bmgu,,7
66,42774,True,True,0,True,True,True,0975,b28,,7
67,42775,True,True,0,True,True,True,1930,f9d,,7
68,42776,True,True,0,True,True,True,4500,bec,,7
69,42777,True,True,0,True,True,True,0141,9i7,,7
70,42778,True,True,0,True,True,True,4530,b61,,7
71,42779,True,True,0,True,True,True,1830,p8z,,7
72,42780,True,True,0,True,True,True,1480,hydd,,7
73,42781,True,True,0,True,True,True,0070,bac,,7
74,42782,True,True,0,True,True,True,2730,9ci,,7
75,42783,True,True,0,True,True,True,2490,a17u,,7
76,42784,True,True,0,True,True,True,0865,hmn,,7
77,42785,True,True,0,True,True,True,0680,au8u,,7
78,42786,True,True,0,True,True,True,1050,cy6u,,7
79,42787,True,True,0,True,True,True,0285,awv,,7
80,42788,True,True,0,True,True,True,0113,c04,,7
81,42789,True,True,0,True,True,True,3560,hccd,,7
82,42790,True,True,0,True,True,True,0765,j85,,7
83,42791,True,True,0,True,True,True,1170,8c8u,,7
84,42792,True,True,0,True,True,True,1710,ou8,,7
85,42793,True,True,0,True,True,True,0059,5eb,,7
86,42794,True,True,0,True,True,True,0013,c13,,7
87,42795,True,True,0,True,True,True,0110,5nv,,7
88,42796,True,True,0,True,True,True,0650,c05,,7
89,42797,True,True,0,True,True,True,1760,g92,,7
90,42798,True,True,0,True,True,True,0095,uix,,7
91,42799,True,True,0,True,True,True,0044,beh,,7
92,42800,True,True,0,True,True,True,0018,bhd,,7
93,42801,True,True,0,True,True,True,0017,gu5,,7
94,42802,True,True,0,True,True,True,0685,qes,,7
95,42803,True,True,0,True,True,True,0260,c33,,7
96,42804,True,True,0,True,True,True,7870,c09,,7
97,42805,True,True,0,True,True,True,1650,p9d,,7
