check,passed,severity,detail
v2_21c_status_expected,True,critical,TARGETED_MARKET_CANDIDATE_EXTRACTION_DEDUP_DRY_RUN_COMPLETED_NEW_CANDIDATES_READY_FOR_REBUILD_NO_DATASET_CHANGES_SCORING_DEFERRED
v2_21b_status_expected,True,critical,TARGETED_MARKET_ACQUISITION_RAW_VALIDATION_COMPLETED_COLOMBIA_SINGAPORE_RAW_SOURCES_AVAILABLE_NO_DATASET_CHANGES_SCORING_DEFERRED
operational_base_rows_expected,True,critical,operational_rows=42708
operational_base_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
schema_column_count_expected,True,critical,columns=33
v2_21c_extracted_candidates_loaded,True,critical,extracted_candidates=3
all_v2_21c_accepted_candidates_invalidated,True,critical,invalidated=3;accepted_in_v2_21c=3
no_candidates_approved_for_rebuild_after_review,True,critical,approved_candidates_after_review=0
structured_candidate_sources_not_available,True,warning,structured_sources=0
regex_only_sources_detected,True,warning,regex_only_sources=4
v2_21d_rebuild_blocked,True,critical,v2.21D blocked until official structured candidates exist
v2_21c3_source_discovery_required,True,critical,official endpoint/downloadable listing discovery required
operational_base_not_modified,True,critical,operational base SHA unchanged
false_positive_review_is_audit_only,True,critical,no artifact rewrite; no history rewrite; no force push
candidate_extraction_not_reexecuted,True,critical,review uses v2.21C outputs only
expanded_rebuild_not_performed,True,critical,expanded_rebuild_performed=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
pointer_update_not_performed,True,critical,pointer_update_performed=False
scoring_not_authorized,True,critical,scoring_authorized=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
