metric,value
selected_route,Colombia + Singapore targeted expansion
phase_type,targeted-market-missing-official-structured-endpoint-review
review_decision,SPLIT_ROUTE_APPROVED_SINGAPORE_READY_COLOMBIA_REGULATORY_DISCOVERY_REQUIRED
approved_for_singapore_structured_extraction,True
approved_for_colombia_regulatory_discovery,True
approved_for_global_v2_21c4,False
approved_for_v2_21d,False
operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
operational_base_rows,42708
operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
quality_floor_target,42000
quality_ceiling_target,45000
colombia_bvc_endpoint_ready,False
singapore_sgx_endpoint_ready,True
v2_21d_blocked,True
candidate_extraction_performed,False
dedup_performed,False
expanded_rebuild_performed,False
provider_expansion_scope,targeted_split_only
scoring_authorized,False
openai_authorized,False
broker_authorized,False
full59k,DEPRECATED_DEFERRED
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.21C4S - Singapore Structured Candidate Extraction + Dedup Dry Run
secondary_next_phase,v2.21C3B - Colombia Regulatory Source Discovery
