check,passed,severity,detail
v2_21b_status_expected,True,critical,TARGETED_MARKET_ACQUISITION_RAW_VALIDATION_COMPLETED_COLOMBIA_SINGAPORE_RAW_SOURCES_AVAILABLE_NO_DATASET_CHANGES_SCORING_DEFERRED
v2_21c_status_expected,True,critical,TARGETED_MARKET_CANDIDATE_EXTRACTION_DEDUP_DRY_RUN_COMPLETED_NEW_CANDIDATES_READY_FOR_REBUILD_NO_DATASET_CHANGES_SCORING_DEFERRED
v2_21c2_status_expected,True,critical,TARGETED_MARKET_CANDIDATE_FALSE_POSITIVE_REVIEW_COMPLETED_ACCEPTED_CANDIDATES_INVALIDATED_REBUILD_BLOCKED_SOURCE_DISCOVERY_REQUIRED
v2_21c2_blocks_v2_21d,True,critical,v2_21d_blocked=True
operational_base_rows_expected,True,critical,operational_rows=42708
operational_base_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
schema_column_count_expected,True,critical,columns=33
endpoint_inventory_created,True,critical,endpoint_inventory=21
endpoint_fetches_attempted,True,critical,fetch_rows=21;inventory=21
at_least_one_endpoint_fetch_successful,True,critical,successes=21
all_markets_structured_endpoint_ready,False,warning,ready_markets=1;required=2
at_least_one_market_structured_endpoint_ready,True,warning,ready_markets=1
discovery_only_no_candidate_acceptance,True,critical,v2.21C3 does not accept or deduplicate candidates
structured_extraction_not_performed,True,critical,structured candidate extraction deferred to v2.21C4
expanded_rebuild_not_performed,True,critical,expanded_rebuild_performed=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
pointer_update_not_performed,True,critical,pointer_update_performed=False
scoring_not_authorized,True,critical,scoring_authorized=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
