check,passed,severity,detail
v2_21c3_status_expected,True,critical,TARGETED_MARKET_OFFICIAL_ENDPOINT_DISCOVERY_COMPLETED_PARTIAL_STRUCTURED_ENDPOINTS_FOUND_REVIEW_REQUIRED
v2_21c3_review_status_expected,True,critical,TARGETED_MARKET_MISSING_ENDPOINT_REVIEW_COMPLETED_SPLIT_ROUTE_APPROVED_SGX_READY_COLOMBIA_REGULATORY_DISCOVERY_REQUIRED
singapore_structured_extraction_approved,True,critical,approved_for_singapore_structured_extraction=True
colombia_not_in_scope,True,critical,Colombia remains discovery-only and is not extracted in v2.21C4S.
global_v2_21c4_not_approved,True,critical,approved_for_global_v2_21c4=False
v2_21d_not_approved,True,critical,approved_for_v2_21d=False
operational_base_rows_expected,True,critical,operational_rows=42708
operational_base_sha_expected,True,critical,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_rows_expected,True,critical,rollback_rows=38287
rollback_sha_expected,True,critical,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
schema_column_count_expected,True,critical,columns=33
structured_sgx_endpoints_available,True,critical,structured_sgx_endpoints=2
raw_candidates_extracted,True,critical,raw_candidates=1554
eligible_candidates_available,True,warning,eligible_candidates=358
projected_rows_under_quality_ceiling,True,critical,projected_rows=43066;ceiling=45000
capacity_remaining_non_negative,True,critical,remaining_capacity_after_addition=1934
operational_base_not_modified,True,critical,operational base SHA unchanged
rollback_not_modified,True,critical,rollback SHA unchanged
singapore_only_scope,True,critical,all candidate rows are Singapore/SGX scoped
regex_only_candidate_acceptance_not_allowed,True,critical,only structured JSON endpoint objects are parsed
dedup_dry_run_performed,True,critical,dedup dry run performed against operational base
expanded_rebuild_not_performed,True,critical,expanded_rebuild_performed=False
canonical_dataset_not_modified,True,critical,canonical_dataset_modified=False
active_canonical_not_replaced,True,critical,active_canonical_replaced=False
pointer_update_not_performed,True,critical,pointer_update_performed=False
scoring_not_authorized,True,critical,scoring_authorized=False
openai_not_called,True,critical,openai_called=False
broker_not_called,True,critical,broker_called=False
full59k_not_launched,True,critical,full59k_universe_launched=False
