candidate_id,market_id,country,country_code,exchange,mic,currency,source_provider,source_id,source_url,symbol,ticker,trading_code,isin,name,instrument_type,instrument_bucket,sector,price,dedup_key,dedup_status,dedup_reason,capacity_status,approved_for_rebuild_input,raw_payload
v2_21c4s_00001,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.845,0.845,0.845,,LVR,stocks,equity_common_or_equity_like,,0.81,SINGAPORE_SGX||0845|lvr,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.81, ""lt"": 0.81, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 3.7, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.810"", ""c"": 0.0, ""sv"": 0.1, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.845"", ""nc"": ""LVR"", ""cx"": 0.0, ""vl"": 0.0, ""v"": 0.0}"
v2_21c4s_00002,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.033,0.033,0.033,,1Y1,stocks,equity_common_or_equity_like,,0.032,SINGAPORE_SGX||0033|1y1,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.031, ""lt"": 0.032, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 3.3, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.032"", ""c"": 0.001, ""sv"": 10.0, ""h"": 0.032, ""v_"": """", ""cn"": null, ""l"": 0.031, ""o"": 0.031, ""p_"": ""X"", ""p"": 3.226, ""change_vs_pc"": null, ""s"": ""0.033"", ""nc"": ""1Y1"", ""cx"": 0.0, ""vl"": 250.0, ""v"": 7950.0}"
v2_21c4s_00003,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.098,0.098,0.098,,BQC,stocks,equity_common_or_equity_like,,0.088,SINGAPORE_SGX||0098|bqc,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.088, ""lt"": 0.088, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 18.2, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260805"", ""b"": ""0.088"", ""c"": 0.0, ""sv"": 0.2, ""h"": 0.088, ""v_"": """", ""cn"": null, ""l"": 0.088, ""o"": 0.088, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.098"", ""nc"": ""BQC"", ""cx"": 0.0, ""vl"": 2.1, ""v"": 184.8}"
v2_21c4s_00004,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.595,0.595,0.595,,BTJ,stocks,equity_common_or_equity_like,,0.595,SINGAPORE_SGX||0595|btj,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.535, ""lt"": 0.595, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 2.0, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.585"", ""c"": 0.06, ""sv"": 43.4, ""h"": 0.61, ""v_"": """", ""cn"": null, ""l"": 0.54, ""o"": 0.54, ""p_"": ""X"", ""p"": 11.215, ""change_vs_pc"": null, ""s"": ""0.595"", ""nc"": ""BTJ"", ""cx"": 0.0, ""vl"": 481.5, ""v"": 278592.0}"
v2_21c4s_00005,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.415,0.415,0.415,,533,stocks,equity_common_or_equity_like,,0.39,SINGAPORE_SGX||0415|533,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.39, ""lt"": 0.39, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 10.5, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.390"", ""c"": 0.0, ""sv"": 0.3, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.415"", ""nc"": ""533"", ""cx"": 0.0, ""vl"": 0.0, ""v"": 0.0}"
v2_21c4s_00006,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.025,0.025,0.025,,541,stocks,equity_common_or_equity_like,,0.025,SINGAPORE_SGX||0025|541,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.025, ""lt"": 0.025, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 65.5, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260806"", ""b"": ""0.020"", ""c"": 0.0, ""sv"": 50.0, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.025"", ""nc"": ""541"", ""cx"": 0.0, ""vl"": 0.0, ""v"": 0.0}"
v2_21c4s_00007,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.189,0.189,0.189,,570,stocks,equity_common_or_equity_like,,0.192,SINGAPORE_SGX||0189|570,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.192, ""lt"": 0.192, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 0.9, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260803"", ""b"": ""0.129"", ""c"": 0.0, ""sv"": 0.9, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.189"", ""nc"": ""570"", ""cx"": 0.0, ""vl"": 0.0, ""v"": 0.0}"
v2_21c4s_00008,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.062,0.062,0.062,,QZG,stocks,equity_common_or_equity_like,,0.056,SINGAPORE_SGX||0062|qzg,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.061, ""lt"": 0.056, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 1.4, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.057"", ""c"": -0.005, ""sv"": 16.0, ""h"": 0.06, ""v_"": """", ""cn"": null, ""l"": 0.043, ""o"": 0.06, ""p_"": ""X"", ""p"": -8.197, ""change_vs_pc"": null, ""s"": ""0.062"", ""nc"": ""QZG"", ""cx"": 0.0, ""vl"": 2761.681, ""v"": 114885.24}"
v2_21c4s_00009,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.029,0.029,0.029,,5FW,stocks,equity_common_or_equity_like,,0.028,SINGAPORE_SGX||0029|5fw,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.025, ""lt"": 0.028, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 70.0, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.027"", ""c"": 0.003, ""sv"": 197.0, ""h"": 0.028, ""v_"": """", ""cn"": null, ""l"": 0.025, ""o"": 0.025, ""p_"": ""X"", ""p"": 12.0, ""change_vs_pc"": null, ""s"": ""0.029"", ""nc"": ""5FW"", ""cx"": 0.0, ""vl"": 320.8, ""v"": 8843.4}"
v2_21c4s_00010,SINGAPORE_SGX,Singapore,SG,SGX,XSES,SGD,sgx_structured_endpoint,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,0.084,0.084,0.084,,AYV,stocks,equity_common_or_equity_like,,0.085,SINGAPORE_SGX||0084|ayv,accepted_new,not_found_in_operational_base,within_capacity,True,"{""pv"": 0.085, ""lt"": 0.085, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 0.3, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.074"", ""c"": 0.0, ""sv"": 0.1, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.084"", ""nc"": ""AYV"", ""cx"": 0.0, ""vl"": 0.0, ""v"": 0.0}"
