raw_candidate_id,market_id,source_id,source_url,raw_file,raw_object_index,symbol,name,isin,instrument_type,sector,price,currency,raw_payload,raw_quality_status,raw_quality_reason
sgx_raw_000001,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,1,0.845,LVR,,stocks,,0.81,SGD,"{""pv"": 0.81, ""lt"": 0.81, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 3.7, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.810"", ""c"": 0.0, ""sv"": 0.1, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.845"", ""nc"": ""LVR"", ""cx"": 0.0, ""vl"": 0.0, ""v"": 0.0}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_000002,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,2,0.033,1Y1,,stocks,,0.032,SGD,"{""pv"": 0.031, ""lt"": 0.032, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 3.3, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.032"", ""c"": 0.001, ""sv"": 10.0, ""h"": 0.032, ""v_"": """", ""cn"": null, ""l"": 0.031, ""o"": 0.031, ""p_"": ""X"", ""p"": 3.226, ""change_vs_pc"": null, ""s"": ""0.033"", ""nc"": ""1Y1"", ""cx"": 0.0, ""vl"": 250.0, ""v"": 7950.0}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_000003,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,3,0.993,SBO,,etfs,,0.993,SGD,"{""pv"": 0.993, ""lt"": 0.993, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""etfs"", ""du"": null, ""bv"": 20.2, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": null, ""b"": ""0.992"", ""c"": 0.0, ""sv"": 2805.65, ""h"": 0.993, ""v_"": """", ""cn"": null, ""l"": 0.991, ""o"": 0.992, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.993"", ""nc"": ""SBO"", ""cx"": 0.992, ""vl"": 115.644, ""v"": 114710.938}",rejected,disallowed_instrument_term=etf
sgx_raw_000004,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,4,0.781,SBV,,etfs,,0.769,SGD,"{""pv"": 0.769, ""lt"": 0.769, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""etfs"", ""du"": null, ""bv"": 80.0, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": null, ""b"": ""0.773"", ""c"": 0.0, ""sv"": 80.0, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.781"", ""nc"": ""SBV"", ""cx"": 0.774, ""vl"": 0.0, ""v"": 0.0}",rejected,disallowed_instrument_term=etf
sgx_raw_000005,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,5,1.631,JJJ,,etfs,,1.619,SGD,"{""pv"": 1.62, ""lt"": 1.619, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""etfs"", ""du"": null, ""bv"": 80.0, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": null, ""b"": ""1.621"", ""c"": -0.001, ""sv"": 1.0, ""h"": 1.62, ""v_"": """", ""cn"": null, ""l"": 1.609, ""o"": 1.615, ""p_"": ""X"", ""p"": -0.062, ""change_vs_pc"": null, ""s"": ""1.631"", ""nc"": ""JJJ"", ""cx"": 1.625, ""vl"": 42.076, ""v"": 68065.249}",rejected,disallowed_instrument_term=etf
sgx_raw_000006,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,6,1.277,JUS,,etfs,,1.26,SGD,"{""pv"": 1.26, ""lt"": 1.26, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""etfs"", ""du"": null, ""bv"": 80.0, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": null, ""b"": ""1.266"", ""c"": 0.0, ""sv"": 80.0, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""1.277"", ""nc"": ""JUS"", ""cx"": 1.27, ""vl"": 0.0, ""v"": 0.0}",rejected,disallowed_instrument_term=etf
sgx_raw_000007,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,7,0.098,BQC,,stocks,,0.088,SGD,"{""pv"": 0.088, ""lt"": 0.088, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 18.2, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260805"", ""b"": ""0.088"", ""c"": 0.0, ""sv"": 0.2, ""h"": 0.088, ""v_"": """", ""cn"": null, ""l"": 0.088, ""o"": 0.088, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.098"", ""nc"": ""BQC"", ""cx"": 0.0, ""vl"": 2.1, ""v"": 184.8}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_000008,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,8,0.595,BTJ,,stocks,,0.595,SGD,"{""pv"": 0.535, ""lt"": 0.595, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 2.0, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.585"", ""c"": 0.06, ""sv"": 43.4, ""h"": 0.61, ""v_"": """", ""cn"": null, ""l"": 0.54, ""o"": 0.54, ""p_"": ""X"", ""p"": 11.215, ""change_vs_pc"": null, ""s"": ""0.595"", ""nc"": ""BTJ"", ""cx"": 0.0, ""vl"": 481.5, ""v"": 278592.0}",accepted,structured_sgx_record_has_symbol_and_name
sgx_raw_000009,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,9,1.114,A35,,etfs,,1.112,SGD,"{""pv"": 1.111, ""lt"": 1.112, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""etfs"", ""du"": null, ""bv"": 497.168, ""dpc"": null, ""iiv"": null, ""iopv"": 1.161, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": null, ""b"": ""1.112"", ""c"": 0.001, ""sv"": 99.584, ""h"": 1.115, ""v_"": """", ""cn"": null, ""l"": 1.111, ""o"": 1.114, ""p_"": ""X"", ""p"": 0.09, ""change_vs_pc"": null, ""s"": ""1.114"", ""nc"": ""A35"", ""cx"": 1.112, ""vl"": 903.474, ""v"": 1005376.373}",rejected,disallowed_instrument_term=etf
sgx_raw_000010,SINGAPORE_SGX,SGX_SECURITIES_V1_1_JSON_EXTENDED,https://api.sgx.com/securities/v1.1?excludetypes=bonds&params=nc%2Cadjusted-vwap%2Cb%2Cbv%2Cp%2Cc%2Cchange_vs_pc%2Cchange_vs_pc_percentage%2Ccx%2Ccn%2Cdp%2Cdpc%2Cdu%2Ced%2Cfn%2Ch%2Ciiv%2Ciopv%2Clt%2Cl%2Co%2Cp_%2Cpv%2Cptd%2Cs%2Csv%2Ctrading_time%2Cv_%2Cv%2Cvl%2Cvwap%2Cvwap-currency,outputs\full_universe_source_acquisition\raw_targeted_market_endpoint_discovery_v2_21c3\006_SGX_SECURITIES_V1_1_JSON_EXTENDED.json,10,0.415,533,,stocks,,0.39,SGD,"{""pv"": 0.39, ""lt"": 0.39, ""fn"": null, ""trading_time"": ""20260812_091600"", ""dp"": null, ""type"": ""stocks"", ""du"": null, ""bv"": 10.5, ""dpc"": null, ""iiv"": null, ""iopv"": 0.0, ""ed"": null, ""change_vs_pc_percentage"": null, ""ptd"": ""20260811"", ""b"": ""0.390"", ""c"": 0.0, ""sv"": 0.3, ""h"": 0.0, ""v_"": """", ""cn"": null, ""l"": 0.0, ""o"": 0.0, ""p_"": ""X"", ""p"": 0.0, ""change_vs_pc"": null, ""s"": ""0.415"", ""nc"": ""533"", ""cx"": 0.0, ""vl"": 0.0, ""v"": 0.0}",accepted,structured_sgx_record_has_symbol_and_name
