ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot,provider,source_phase,symbol,security_name,instrument_id,product_assignment_group_description,asset_type
0.845,LVR,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.845,LVR,equity_common_or_equity_like,,equity_common_or_equity_like
0.033,1Y1,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.033,1Y1,equity_common_or_equity_like,,equity_common_or_equity_like
0.098,BQC,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.098,BQC,equity_common_or_equity_like,,equity_common_or_equity_like
0.595,BTJ,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.595,BTJ,equity_common_or_equity_like,,equity_common_or_equity_like
0.415,533,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.415,533,equity_common_or_equity_like,,equity_common_or_equity_like
0.025,541,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.025,541,equity_common_or_equity_like,,equity_common_or_equity_like
0.189,570,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.189,570,equity_common_or_equity_like,,equity_common_or_equity_like
0.062,QZG,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.062,QZG,equity_common_or_equity_like,,equity_common_or_equity_like
0.029,5FW,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.029,5FW,equity_common_or_equity_like,,equity_common_or_equity_like
0.084,AYV,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.084,AYV,equity_common_or_equity_like,,equity_common_or_equity_like
0.230,XZL,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_like_trust,equity_like_trust,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.230,XZL,equity_like_trust,,equity_like_trust
0.014,43F,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.014,43F,equity_common_or_equity_like,,equity_common_or_equity_like
0.149,A31,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.149,A31,equity_common_or_equity_like,,equity_common_or_equity_like
0.154,BLZ,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.154,BLZ,equity_common_or_equity_like,,equity_common_or_equity_like
0.003,WJ9,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.003,WJ9,equity_common_or_equity_like,,equity_common_or_equity_like
9.640,AWX,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,9.640,AWX,equity_common_or_equity_like,,equity_common_or_equity_like
1.500,O5RU,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_like_reit,equity_like_reit,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,1.500,O5RU,equity_like_reit,,equity_like_reit
2.500,TATD,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,2.500,TATD,equity_common_or_equity_like,,equity_common_or_equity_like
0.005,584,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.005,584,equity_common_or_equity_like,,equity_common_or_equity_like
4.020,HBBD,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,4.020,HBBD,equity_common_or_equity_like,,equity_common_or_equity_like
0.460,ALK,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.460,ALK,equity_common_or_equity_like,,equity_common_or_equity_like
0.165,MIJ,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.165,MIJ,equity_common_or_equity_like,,equity_common_or_equity_like
0.495,M1GU,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_like_reit,equity_like_reit,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.495,M1GU,equity_like_reit,,equity_like_reit
0.021,40V,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.021,40V,equity_common_or_equity_like,,equity_common_or_equity_like
83.310,AMQ,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,83.310,AMQ,equity_common_or_equity_like,,equity_common_or_equity_like
0.117,S9B,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.117,S9B,equity_common_or_equity_like,,equity_common_or_equity_like
0.023,AOF,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.023,AOF,equity_common_or_equity_like,,equity_common_or_equity_like
3.390,HKB,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,3.390,HKB,equity_common_or_equity_like,,equity_common_or_equity_like
0.019,Y35,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.019,Y35,equity_common_or_equity_like,,equity_common_or_equity_like
0.370,BTX,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.370,BTX,equity_common_or_equity_like,,equity_common_or_equity_like
0.058,A52,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.058,A52,equity_common_or_equity_like,,equity_common_or_equity_like
0.015,JFQ,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.015,JFQ,equity_common_or_equity_like,,equity_common_or_equity_like
0.240,1D4,SGX,Singapore,sgx_structured_endpoint,sgx_structured_endpoint,equity_common_or_equity_like,equity_common_or_equity_like,,,,,,,SGX,sgx_structured_endpoint,,,,SGD,XSES,sgx_structured_endpoint,sgx_structured_endpoint,,,,sgx_structured_endpoint,sgx_structured_endpoint,0.240,1D4,equity_common_or_equity_like,,equity_common_or_equity_like
