ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot,provider,source_phase,symbol,security_name,instrument_id,product_assignment_group_description,asset_type
1101.TW,臺灣水泥股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1101; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,01,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1101,臺灣水泥股份有限公司,,,
1102.TW,亞洲水泥股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1102; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,01,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1102,亞洲水泥股份有限公司,,,
1103.TW,嘉新水泥股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1103; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,01,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1103,嘉新水泥股份有限公司,,,
1104.TW,環球水泥股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1104; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,01,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1104,環球水泥股份有限公司,,,
1108.TW,幸福水泥股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1108; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,01,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1108,幸福水泥股份有限公司,,,
1109.TW,信大水泥股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1109; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,01,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1109,信大水泥股份有限公司,,,
1110.TW,東南水泥股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1110; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,01,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1110,東南水泥股份有限公司,,,
1201.TW,味全食品工業股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1201; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,02,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1201,味全食品工業股份有限公司,,,
1203.TW,味王股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1203; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,02,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1203,味王股份有限公司,,,
1210.TW,大成長城企業股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1210; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,02,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1210,大成長城企業股份有限公司,,,
1213.TW,大西洋飲料股份有限公司,TWSE,Taiwan,TWSE,outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_classification_v2_18f.csv,Equity,common_equity,high,v2.18G added from v2.18F potential_net_new; candidate_id=TWSE_TWSE_1213; crosscheck_status=matched_stock_day_all; possible_existing excluded; canonical not modified,,02,,,TWSE,twse_tpex_v2_18g,,,,TWD,XTAI,v2.18G,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,,,,TWSE,v2.18G,1213,大西洋飲料股份有限公司,,,
