source_provider,baseline_rows,policy_cadence,refresh_lane,basis,risk_class
ASX,1316,WEEKLY,AUTOMATED_CANDIDATE,official structured list,CONTROL
sgx_structured_endpoint,358,WEEKLY,AUTOMATED_CANDIDATE,official structured endpoint,CONTROL
nasdaq_trader_nasdaqlisted,3244,WEEKLY,AUTOMATED_CANDIDATE,official exchange list,HIGH_CHANGE_MONITOR
nasdaq_trader_otherlisted,2404,WEEKLY,AUTOMATED_CANDIDATE,official exchange list,HIGH_CHANGE_MONITOR
sec_company_tickers_exchange,2359,WEEKLY,AUTOMATED_CANDIDATE,official SEC reference,HIGH_CHANGE_MONITOR
cboe_listed_symbols,1193,WEEKLY,AUTOMATED_CANDIDATE,official listed symbols,HIGH_CHANGE_MONITOR
jpx_listed_securities,3705,WEEKLY,AUTOMATED_CANDIDATE,official listed securities,HIGH_CHANGE_MONITOR
deutsche_boerse_xetra_all_tradable_instruments,1424,WEEKLY,AUTOMATED_CANDIDATE,official Xetra instrument list,HIGH_CHANGE_MONITOR
TWSE,696,WEEKLY,AUTOMATED_CANDIDATE,official exchange list,HIGH_CHANGE_MONITOR
cboe_europe_reference_data,21154,MONTHLY,CONTROLLED_CANDIDATE,large ambiguous geography population,CRITICAL_METADATA
hkex_securities_list,2804,MONTHLY,CONTROLLED_CANDIDATE,taxonomy review required,REVIEW_REQUIRED
HKEX,396,MONTHLY,CONTROLLED_CANDIDATE,legacy taxonomy-empty bucket,REVIEW_REQUIRED
SFC_SIMEV_RNVE,23,MONTHLY,MANUAL_REVIEW_CANDIDATE,small population; percentage deltas unstable,SMALL_BUCKET
__MISSING_PROVIDER__,2013,NO_AUTOMATED_REFRESH,PROVENANCE_HOLD,provider provenance absent,HOLD
