pilot_id,row_number,ticker,company_name,exchange,country,source_provider,instrument_type,type_bucket_v2_33a,provider_symbol_status,provider_symbol,eligibility_preflight_status,eligibility_preflight_reasons,price_collection_status,provider_symbol_reason
P001,41826,10X.AX,EXULTANT MINING LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,10X.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P002,41537,AQC.AX,AUSTRALIAN PACIFIC COAL LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,AQC.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P003,41592,BRE.AX,BRAZILIAN RARE EARTHS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,BRE.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P004,41718,CRR.AX,CRITICAL RESOURCES LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,CRR.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P005,41792,EM3.AX,EMC GOLD CORPORATION,ASX,Australia,ASX,equity_like,common_equity_candidate,resolved_deterministic,EM3.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P006,41879,GMD.AX,GENESIS MINERALS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,GMD.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P007,41977,IPC.AX,IMPERIAL PACIFIC LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,IPC.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P008,42098,LSR.AX,LODESTAR MINERALS LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,LSR.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P009,42231,NDO.AX,NIDO EDUCATION LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,NDO.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P010,42306,PKO.AX,PEAKO LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,PKO.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P011,42426,RTG.AX,RTG MINING INC.,ASX,Australia,ASX,equity_like,common_equity_candidate,resolved_deterministic,RTG.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P012,41395,T3D.AX,333D LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,T3D.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P013,42623,VKA.AX,VIKING MINES LIMITED,ASX,Australia,ASX,equity,common_equity_candidate,resolved_deterministic,VKA.AU,pass,,ready_pending_authorized_api_token,official_asx_au_suffix
P016,40302,1101.TW,臺灣水泥股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,1101.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P017,40401,1525.TW,江申工業股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,1525.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P018,40501,2102.TW,泰豐輪胎股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,2102.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P019,40600,2514.TW,龍邦國際興業股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,2514.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P020,40699,3049.TW,精金科技股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,3049.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P021,40798,4952.TW,凌通科技股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,4952.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P022,40898,6756.TW,威鋒電子股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,6756.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P023,40997,9958.TW,世紀鋼鐵結構股份有限公司,TWSE,Taiwan,TWSE,Equity,common_equity_candidate,resolved_deterministic,9958.TW,pass,,ready_pending_authorized_api_token,official_taiwan_tw_suffix
P185,6,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,AAL.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P186,103,AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,AIFA.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P187,199,ANY,Sphere 3D Corp. - Common Shares,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,ANY.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P188,296,AUID,authID Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,AUID.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P189,397,BJDX,"Bluejay Diagnostics, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,BJDX.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P190,496,BYSI,"BeyondSpring, Inc. - Ordinary Shares",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,BYSI.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P191,593,CG,The Carlyle Group Inc. - Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,CG.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P192,693,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,COKE.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
P193,792,CXAI,CXApp Inc. - Class A Common Stock,NASDAQ,USA,nasdaq_trader_nasdaqlisted,COMMON_STOCK,common_equity_candidate,resolved_deterministic,CXAI.US,pass,,ready_pending_authorized_api_token,official_unified_us_exchange_code
