asset_id,pilot_id,ticker,provider_symbol_jquants,provider_symbol_twse,company_name,country,exchange,mic,isin,lei,quoting_currency,identity_source,identity_status,identity_notes,price_history_available,price_sessions_available,price_date_range_start,price_date_range_end,fundamentals_eligible
P143,P143,1301,13010,,"KYOKUYO CO.,LTD.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P144,P144,1803,18030,,SHIMIZU CORPORATION,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P145,P145,1994,19940,,TAKAHASHI CURTAIN WALL CORPORATION,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P146,P146,2294,22940,,"Kakiyasu Honten Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P147,P147,2492,24920,,Infomart Corporation,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P148,P148,277A,277A0,,Globe-ing Inc.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,368,2024-11-29,2026-06-08,True
P149,P149,2991,29910,,LANDNET Inc.,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P150,P150,3157,31570,,GEOLIVE Group Corporation,JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P151,P151,3359,33590,,"cotta CO.,LTD",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
P152,P152,3542,35420,,"Vega corporation Co.,Ltd.",JP,JPX,,,,JPY,jquants_master_exact_name_match_v2_33g,identity_verified,Resolved v2.33G via exact CompanyNameEnglish match against the official /v2/equities/master endpoint; 0 false matches (fail-closed resolver).,True,486,2024-06-10,2026-06-08,True
