asset_id,ticker,company_name_source_value,resolved_company_name,resolved_company_name_raw,resolution_status,resolution_reason,isin,home_mic,home_country,source_row_hash,credentials_used,phase,created_at_utc
U37366,A441,ESP0,AENA SME S.A.,AENA SME S.A.       EO 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0105046017,XMAD,ES,086a724833e3d4fff168cffc789049841faa5a9162ea6205871d1bc9767ba787,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37367,472,ESP0,CELLNEX TELECOM SA,"CELLNEX TELECOM SA EO-,25",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0105066007,XMAD,ES,84ee8efe88e624a3523ea6f47a155a82ae7d36359e2f75c969f4c7d64effc9cb,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37368,AI3A,ESP0,AMADEUS IT GRP SA,"AMADEUS IT GRP SA EO 0,01",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0109067019,XMAD,ES,0a2da19472002f19d97a3f455f0c639c5d3b646870be4b064fd60a66c3c61884,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37369,BOY,ESP0,BCO BIL.VIZ.ARG.NOM.,BCO BIL.VIZ.ARG.NOM.EO-49,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0113211835,XMAD,ES,5e6915a0279995840e9dd5692275ca322922746fa11ec24bb3139ace6ec12a37,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37370,BDSB,ESP0,BCO DE SABADELL A,"BCO DE SABADELL A EO-,125",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0113860A34,XMAD,ES,f986f9e0ea56c6e8d693cdf759381a51ef0ed975c852be0b9a11fdfb22f8e7b0,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37371,BSD2,ESP0,BCO SANTANDER N.,"BCO SANTANDER N.EO0,5",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0113900J37,XMAD,ES,7422a88bf97ef4297ca8c37db7dadbe13dcc90bcdd21b5828907a60abbe57c4c,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37372,IDA,ESP0,INDRA SISTEMAS INH.,"INDRA SISTEMAS INH.EO 0,2",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0118594417,XMAD,ES,d8a2a8c32b38044d8a804bfb89d194a5d0d3a6e40675e9ee127ffa24dbe8f318,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37373,ENA,ESP0,ENDESA INH.,"ENDESA INH.       EO 1,20",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0130670112,XMAD,ES,d6f056dfdbf9d72341b180f542c06eadc4fb0319a90be9ff788eedf06dc56e9c,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37374,48CA,ESP0,CAIXABANK S.A. EO,CAIXABANK S.A. EO,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0140609019,XMAD,ES,f361ca69eec08dc7012f5d2ac02cbc41ba6bae6f91bdca4d78eeaeadb4570783,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37375,IBE1,ESP0,IBERDROLA INH.,"IBERDROLA INH.    EO -,75",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0144580Y14,XMAD,ES,3f03d23a30557979ceff27c148e7b90ace7932f053a058cb21ac6d44bcac21d2,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37376,IXD1,ESP0,INDITEX INH.,"INDITEX INH.      EO 0,03",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0148396007,XMAD,ES,fb262549b2bfaa4b344e81f05a1bdbf87ed86bdc38809deb86775bf83505c190,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37377,RE21,ESP0,REDEIA CORPO,"REDEIA CORPO       EO-,50",resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0173093024,XMAD,ES,aa3bd212939b7fd39b1b0feb9b472f196d1c4704ac94c4fdb5847d583ca4894f,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37378,REP,ESP0,REPSOL S.A. INH.,REPSOL S.A. INH.     EO 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0173516115,XMAD,ES,8605687b3e7a3520ca6db0ae7577fbc0c38a5119cf792bf3bd10a9d41a21ec56,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37379,INR,ESP0,INTERN.CONS.AIRL.GR.,INTERN.CONS.AIRL.GR.,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0177542018,XMAD,ES,d0e546514d2c97b0a2143d4faf561e5017115929765314791cc79e24e983049c,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
U37380,TNE5,ESP0,TELEFONICA INH.,TELEFONICA INH.      EO 1,resolved,exact_mnemonic_match_single_isin_in_xetra_reference_file,ES0178430E18,XMAD,ES,9c35f32e3009c6be0728aafaf732d98a76b0e2571be957c15b00eac2ace99b8c,false,v2.38AA-europe-spain-identity-resolution-xetra-source,2026-09-05T21:36:40Z
