asset_id,ticker,resolved_company_name,isin,lookup_status,lookup_reason,siren,company_status,legal_form_code,real_filings_downloaded,real_fundamentals_present,phase,created_at_utc
U37386,NXS,NEXANS,FR0000044448,resolved,exact_normalized_name_match_single_active_company,393525852,A,5599,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37387,XCA,CREDIT AGRICOLE,FR0000045072,unresolved,ambiguous_multiple_active_companies_match_name,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37388,RCF,TELEPERFORMANCE,FR0000051807,resolved,exact_normalized_name_match_single_active_company,301292702,A,5800,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37389,HMI,HERMES INTERNATIONAL,FR0000052292,unresolved,ambiguous_multiple_active_companies_match_name,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37390,UEN,UBISOFT ENTMT IN.,FR0000054470,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37391,SEJ1,SAFRAN,FR0000073272,unresolved,ambiguous_multiple_active_companies_match_name,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37392,AIL,AIR LIQUIDE,FR0000120073,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37393,CAR,CARREFOUR S.A.,FR0000120172,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37394,TOTB,TOTALENERGIES SE,FR0000120271,resolved,exact_normalized_name_match_single_active_company,934082975,A,9220,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37395,LOR,L OREAL,FR0000120321,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37396,ACR,ACCOR SA,FR0000120404,unresolved,ambiguous_multiple_active_companies_match_name,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37397,SNW,SANOFI SA,FR0000120578,resolved,exact_normalized_name_match_single_active_company,395030844,A,5599,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37398,AXA,AXA S.A.,FR0000120628,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37399,BSN,DANONE S.A.,FR0000120644,resolved,exact_normalized_name_match_single_active_company,552032534,A,5599,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37400,PER,PERNOD RICARD,FR0000120693,resolved,exact_normalized_name_match_single_active_company,582041943,A,5599,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37401,MOH,LVMH,FR0000121014,unresolved,ambiguous_multiple_active_companies_match_name,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37402,FAU,FORVIA SE,FR0000121147,resolved,exact_normalized_name_match_single_active_company,542005376,A,5800,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37403,CSF,THALES S.A.,FR0000121329,resolved,exact_normalized_name_match_single_active_company,552059024,A,5599,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37404,PPX,KERING S.A.,FR0000121485,resolved,exact_normalized_name_match_single_active_company,552075020,A,5599,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37405,ESL,ESSILORLUXO.,FR0000121667,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37406,SND,SCHNEIDER ELEC.,FR0000121972,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37407,VVD,VEOLIA ENVIRONNE.,FR0000124141,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
U37408,GOB,ST GOBAIN,FR0000125007,unresolved,no_exact_normalized_name_match,,,,false,false,v2.38AD-europe-france-registry-lookup,2026-09-05T22:15:41Z
