asset_id,ticker,resolved_company_name,isin,gleif_lookup_status,gleif_lookup_reason,lei,legal_name,registration_authority_id,kvk_number,entity_status,phase,created_at_utc
U37541,KPN,KON. KPN NV,NL0000009082,resolved,exact_isin_match_single_lei_record,549300YO0JZHAL7FVP81,Koninklijke KPN N.V.,RA000463,02045200,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37542,HNK1,HEINEKEN,NL0000009165,resolved,exact_isin_match_single_lei_record,724500K5PTPSST86UQ23,Heineken N.V.,RA000463,33011433,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37543,PHI1,KONINKL. PHILIPS,NL0000009538,resolved,exact_isin_match_single_lei_record,H1FJE8H61JGM1JSGM897,Koninklijke Philips N.V.,RA000463,17001910,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37544,SGM,STMICROELECTRONICS,NL0000226223,resolved,exact_isin_match_single_lei_record,213800Z8NOHIKRI42W10,STMICROELECTRONICS N.V.,RA000463,33194537,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37545,AIR,AIRBUS SE,NL0000235190,resolved,exact_isin_match_single_lei_record,MINO79WLOO247M1IL051,AIRBUS SE,RA000463,24288945,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37546,APM,AD PEPPER MEDIA,NL0000238145,unresolved,no_lei_record_for_isin,,,,,,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37547,AVS,ASM INTL N.V.,NL0000334118,resolved,exact_isin_match_single_lei_record,7245001I22ND6ZFHX623,ASM International N.V.,RA000463,30037466,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37548,WOSB,WOLTERS KLUWER,NL0000395903,resolved,exact_isin_match_single_lei_record,724500TEM53I0U077B74,Wolters Kluwer N.V.,RA000463,33202517,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37549,R1D,AERCAP HOLDINGS,NL0000687663,unresolved,no_lei_record_for_isin,,,,,,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
U37550,ADG,AMG CRITICAL MATER.,NL0000888691,resolved,exact_isin_match_single_lei_record,5493006MN6OH67U2YI74,AMG Critical Materials N.V.,RA000463,34261128,ACTIVE,v2.38AE-europe-netherlands-registry-lookup,2026-09-05T22:28:21Z
