asset_id,ticker,resolved_company_name,isin,home_country,gleif_lookup_status,gleif_lookup_reason,lei,legal_name,registration_authority_id,registration_authority_name,national_registration_number,entity_status,phase,created_at_utc
U36865,XD4,STRABAG SE,AT000000STR1,AT,resolved,exact_isin_match_single_lei_record,529900TYYSRJH2VJSP60,STRABAG SE,RA000017,,88983h,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36866,RAW,RAIFFEISEN BK INTL,AT0000606306,AT,resolved,exact_isin_match_single_lei_record,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,RA000017,,122119m,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36867,ABS2,PORR AG,AT0000609607,AT,resolved,exact_isin_match_single_lei_record,529900ARBU9SBJFNX419,PORR AG,RA000017,,34853f,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36868,EBO,ERSTE GROUP BNK,AT0000652011,AT,resolved,exact_isin_match_single_lei_record,PQOH26KWDF7CG10L6792,ERSTE GROUP BANK AG,RA000017,,33209m,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36869,AZ2,ANDRITZ AG,AT0000730007,AT,resolved,exact_isin_match_single_lei_record,549300VZKC61IR5U8G96,Andritz AG,RA000017,,50935f,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36870,OMV,OMV AG,AT0000743059,AT,resolved,exact_isin_match_single_lei_record,549300V62YJ9HTLRI486,OMV AKTIENGESELLSCHAFT,RA000017,,93363z,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36871,OEWA,VERBUND AG       INH. A,AT0000746409,AT,resolved,exact_isin_match_single_lei_record,5299006UDSEJCTTEJS30,VERBUND AG,RA000017,,76023z,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36872,FAA,FABASOFT AG,AT0000785407,AT,resolved,exact_isin_match_single_lei_record,391200WHND7OZEFNNL77,Fabasoft AG,RA000017,,98699x,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36873,UN9,UNIQA INSURANCE GROUP AG,AT0000821103,AT,resolved,exact_isin_match_single_lei_record,529900OOW8ELHOXWZP82,UNIQA Insurance Group AG,RA000017,,92933t,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36874,WIB,WIENERBERGER,AT0000831706,AT,resolved,exact_isin_match_single_lei_record,529900VXIFBHO0SW2I31,Wienerberger AG,RA000017,,77676f,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
U36875,VAS,VOESTALPINE AG,AT0000937503,AT,resolved,exact_isin_match_single_lei_record,529900ZAXBMQDIWPNB72,voestalpine AG,RA000017,,66209t,ACTIVE,v2.38AF-europe-gleif-registry-lookup,2026-09-05T23:25:29Z
