asset_id,ticker,company_name,company_number,periods_available,features_calculated,features_missing,feature_quality_status,quality_flags
U36865,XD4,STRABAG SE,88983h,5,6,,FEATURES_READY,growth_acceleration_flag
U36866,RAW,Raiffeisen Bank International AG,122119m,5,2,assets_yoy_growth|equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36867,ABS2,PORR AG,34853f,5,6,,FEATURES_READY,growth_acceleration_flag|margin_expansion_flag
U36868,EBO,ERSTE GROUP BANK AG,33209m,5,2,assets_yoy_growth|equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36869,AZ2,Andritz AG,50935f,4,6,,FEATURES_READY,
U36870,OMV,OMV AKTIENGESELLSCHAFT,93363z,4,6,,FEATURES_READY,margin_expansion_flag
U36871,OEWA,VERBUND AG,76023z,5,2,assets_yoy_growth|equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36872,FAA,Fabasoft AG,98699x,2,2,assets_yoy_growth|equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36873,UN9,UNIQA Insurance Group AG,92933t,5,2,assets_yoy_growth|equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36874,WIB,Wienerberger AG,77676f,5,2,assets_yoy_growth|equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36875,VAS,voestalpine AG,66209t,4,5,net_profit_yoy_growth,FEATURES_PARTIAL,
U36876,SLL,SBO AG,102999w,3,6,,FEATURES_READY,margin_expansion_flag
U36877,KTN,Kontron AG,190272m,3,6,,FEATURES_READY,growth_acceleration_flag
U36878,WAH,Wolftank Group AG,306731a,5,5,net_profit_yoy_growth,FEATURES_PARTIAL,
U36879,GEPH,EPH Group AG,603735x,2,3,equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36880,4X0,Steyr Motors AG,583243k,3,4,net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36881,O3P,Österreichische Post Aktiengesellschaft,180219d,5,6,,FEATURES_READY,margin_expansion_flag
U36882,0B2,BAWAG Group AG,269842b,5,2,assets_yoy_growth|equity_yoy_growth|net_profit_yoy_growth|revenue_yoy_growth,FEATURES_PARTIAL,
U36883,1AST,ASTA Energy Solutions AG,271337a,4,6,,FEATURES_READY,
U36884,FQT,FREQUENTIS AG,72115b,3,6,,FEATURES_READY,growth_acceleration_flag
