asset_id,ticker,company_name,isin,wikidata_qid,fetch_status,fetch_reason,industries,non_official_source_caveat,phase,created_at_utc
U37541,KPN,KON. KPN NV,NL0000009082,Q338633,resolved,single_wikidata_item_matched,mobile phone industry;telecommunications industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37542,HNK1,HEINEKEN,NL0000009165,Q180855,resolved,single_wikidata_item_matched,beverage industry;brewing industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37543,PHI1,KONINKL. PHILIPS,NL0000009538,Q170416,resolved,single_wikidata_item_matched,consumer electronics industry;electrical industry;electronics industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37544,SGM,STMICROELECTRONICS,NL0000226223,Q661845,resolved,single_wikidata_item_matched,semiconductor industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37545,AIR,AIRBUS SE,NL0000235190,Q2311,resolved,single_wikidata_item_matched,aircraft construction;aviation;spaceflight;weapons industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37546,APM,AD PEPPER MEDIA,NL0000238145,Q345760,resolved,single_wikidata_item_matched,internet marketing;marketing,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37547,AVS,ASM INTL N.V.,NL0000334118,Q2478569,resolved,single_wikidata_item_matched,semiconductor industry,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37548,WOSB,WOLTERS KLUWER,NL0000395903,Q249798,resolved,single_wikidata_item_matched,publishing,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37549,R1D,AERCAP HOLDINGS,NL0000687663,Q4687934,resolved,single_wikidata_item_matched,aerospace industry;financial services,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
U37550,ADG,AMG CRITICAL MATER.,NL0000888691,Q2143109,no_industry,wikidata_item_has_no_industry_property,,"Sourced from Wikidata (query.wikidata.org), a community-edited, non-profit open database -- NOT an official government registry like Companies House or SIRENE. Verify manually before relying on it for any conclusion.",v2.38AQ-europe-netherlands-wikidata-sector,2026-09-06T14:36:59Z
