asset_id,ticker,resolved_company_name,isin,search_key,gleif_lookup_status,gleif_lookup_reason,lei,gleif_legal_name,rcs_number,entity_status,phase,created_at_utc
U37520,M4M1,MILLICOM INTL CELL.,LU0038705702,MILLICOM INTL CELL.,resolved,exact_token_match_single_luxembourg_entity,549300CTHC1CP86P2G96,Millicom International Cellular S.A.,B40630,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37521,RRTL,RTL GROUP,LU0061462528,RTL GROUP,resolved,exact_token_match_single_luxembourg_entity,5493000C8J3C3SZYS040,RTL Group S.A.,B10807,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37522,O5G,CPI PROPERTY GRP,LU0251710041,CPI PROPERTY GRP,resolved,exact_token_match_single_luxembourg_entity,222100CO2ZOTEPGJO223,CPI PROPERTY GROUP,B102254,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37523,H2A,H2APEX GROUP SCA,LU0472835155,H2APEX GROUP,resolved,exact_token_match_single_luxembourg_entity,391200TZVOLI3RYBWS74,H2APEX Group SCA,B148525,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37524,GYC,GRAND CITY PROPERT.,LU0775917882,GRAND CITY PROPERT.,resolved,exact_token_match_single_luxembourg_entity,5299002QLUYKK2WBMB18,Grand City Properties S.A.,B165560,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37525,ADJ,ADLER GROUP S.A. NPV,LU1250154413,ADLER GROUP,resolved,exact_token_match_single_luxembourg_entity,391200OYYFJ3DWAMEC69,ADLER Group S.A.,B197554,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37526,CCAP,CORESTATE CAPITAL,LU1296758029,CORESTATE CAPITAL,unresolved,no_exact_normalized_name_match_in_luxembourg,,,,,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37527,ARRD,ARCELORMITTAL S.A. NOUV.,LU1598757687,ARCELORMITTAL,resolved,exact_token_match_single_luxembourg_entity,2EULGUTUI56JI9SAL165,ArcelorMittal,B82454,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37528,TGHN,LOGWIN AG,LU1618151879,LOGWIN,resolved,exact_token_match_single_luxembourg_entity,529900XUC6PXMN6ABU42,Logwin AG,B40890,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37529,AT1,AROUNDTOWN,LU1673108939,AROUNDTOWN,resolved,exact_token_match_single_luxembourg_entity,529900H4DWG3KWMBMQ39,Aroundtown SA,B217868,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37530,BFSA,BEFESA S.A. ORD.,LU1704650164,BEFESA,resolved,exact_token_match_single_luxembourg_entity,222100VXGA8L6J4ZWG61,BEFESA S.A.,B177697,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37531,639,SPOTIFY TECH. S.A.,LU1778762911,SPOTIFY TECH.,resolved,exact_token_match_single_luxembourg_entity,549300B4X0JHWV0DTD60,SPOTIFY TECHNOLOGY S.A.,B123052,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37532,GFG,GLOBAL FASHION GRP,LU2010095458,GLOBAL FASHION GRP,resolved,exact_token_match_single_luxembourg_entity,5493001035L29EQRO222,Global Fashion Group S.A.,B190907,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37533,HTG,HOMETOGO SE,LU2290523658,HOMETOGO,resolved,exact_token_match_single_luxembourg_entity,2221001IK1TS34BCHL37,HOMETOGO SE,B249273,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37534,TNIE,TONIES SE,LU2333563281,TONIES,resolved,exact_token_match_single_luxembourg_entity,222100DAYRVSS1X9EB98,TONIES SE,B252939,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37535,NVM,NOVEM GROUP S.A.,LU2356314745,NOVEM GROUP,resolved,exact_token_match_single_luxembourg_entity,222100KIY63U7PV8N251,NOVEM GROUP S.A.,B162537,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37536,LRND,LEARND SE,LU2358378979,LEARND,unresolved,no_exact_normalized_name_match_in_luxembourg,,,,,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37537,MS1,MARLEY SPOON GROUP,LU2380748603,MARLEY SPOON GROUP,resolved,exact_token_match_single_luxembourg_entity,222100A4X237BRODWF67,MARLEY SPOON GROUP SE,B257664,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37538,TW10,TENARIS S.A.,LU2598331598,TENARIS,resolved,exact_token_match_single_luxembourg_entity,549300Y7C05BKC4HZB40,TENARIS S.A.,B85203,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
U37539,OT8,ELEVING GRP DEM.,LU2818110020,ELEVING GRP,resolved,exact_token_match_single_luxembourg_entity,894500N14T2GUDX0FL66,Eleving Group,B174457,ACTIVE,v2.38AW-europe-luxembourg-rcs-gleif,2026-09-06T21:05:16Z
