pilot_id,ticker,company_name,exchange
U33374,2153,Eãƒ»J Holdings Inc.,JPX
U33490,2432,"DeNA Co.,Ltd.",JPX
U33491,2433,HAKUHODO DY HOLDINGS INCORPORATED,JPX
U33492,2435,"CEDAR.Co.,Ltd",JPX
U33493,2436,"KYODO PUBLIC RELATIONS CO.,LTD.",JPX
U33494,2437,"SHINWA WISE HOLDINGS CO.,LTD.",JPX
U33495,2438,"Asukanet Company,Limited",JPX
U33496,2440,"Gurunavi,Inc.",JPX
U33497,2445,"Takamiya Co.,Ltd.",JPX
U33498,2449,"PRAP Japan,Inc.",JPX
U33499,244A,"Growth xPartners,Inc.",JPX
U33500,2454,"All About,Inc.",JPX
U33501,2459,"AUN CONSULTING,Inc.",JPX
U33502,245A,INGS inc.,JPX
U33503,2461,"FAN Communications,Inc.",JPX
U33504,2462,"LIKE,Inc.",JPX
U33505,2464,"Aoba-BBT,Inc.",JPX
U33506,2469,Hibino Corporation,JPX
U33507,246A,ASUA Inc.,JPX
U33508,2471,"S-Pool,Inc.",JPX
U33509,2475,"WDB HOLDINGS CO.,LTD.",JPX
U33510,2477,"Temairazu,Inc.",JPX
U33511,2479,JTEC CORPORATION,JPX
U33512,247A,Ai ROBOTICS INC.,JPX
U33513,2480,"System Location Co.,Ltd.",JPX
