pilot_id,ticker,company_name,exchange,provider_symbol
U40302,1101.TW,臺灣水泥股份有限公司,TWSE,1101
U40303,1102.TW,亞洲水泥股份有限公司,TWSE,1102
U40304,1103.TW,嘉新水泥股份有限公司,TWSE,1103
U40305,1104.TW,環球水泥股份有限公司,TWSE,1104
U40306,1108.TW,幸福水泥股份有限公司,TWSE,1108
U40307,1109.TW,信大水泥股份有限公司,TWSE,1109
U40308,1110.TW,東南水泥股份有限公司,TWSE,1110
U40309,1201.TW,味全食品工業股份有限公司,TWSE,1201
U40310,1203.TW,味王股份有限公司,TWSE,1203
U40311,1210.TW,大成長城企業股份有限公司,TWSE,1210
U40312,1213.TW,大西洋飲料股份有限公司,TWSE,1213
U40313,1215.TW,台灣卜蜂企業股份有限公司,TWSE,1215
U40314,1216.TW,統一企業股份有限公司,TWSE,1216
U40315,1217.TW,愛之味股份有限公司,TWSE,1217
U40316,1218.TW,泰山企業股份有限公司,TWSE,1218
U40317,1219.TW,福壽實業股份有限公司,TWSE,1219
U40318,1220.TW,台榮產業股份有限公司,TWSE,1220
U40319,1225.TW,福懋油脂股份有限公司,TWSE,1225
U40320,1227.TW,佳格食品股份有限公司,TWSE,1227
U40321,1229.TW,聯華實業控股股份有限公司,TWSE,1229
U40322,1231.TW,聯華食品工業股份有限公司,TWSE,1231
U40323,1232.TW,大統益股份有限公司,TWSE,1232
U40324,1233.TW,天仁茶業股份有限公司,TWSE,1233
U40325,1234.TW,黑松股份有限公司,TWSE,1234
U40326,1235.TW,興泰實業股份有限公司,TWSE,1235
