asset_id,ticker,company_name,country,search_key,gleif_lookup_status,gleif_lookup_reason,lei,gleif_legal_name,national_registration_number,entity_status,query_strategy,phase,created_at_utc
U09673,ADKOv,Addiko Bank AG,AT,ADDIKO BANK,resolved,exact_single_gleif_match_country_scoped,529900UKZBMDBDZIXD62,Addiko Bank AG,350921k,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U09876,AMAGv,AMAG Austria Metall AG,AT,AMAG AUSTRIA METALL,resolved,exact_single_gleif_match_country_scoped,5299005VO3GJ18GL5F14,AMAG Austria Metall AG,310593f,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U09900,AMSz,ams-OSRAM AG,AT,AMS-OSRAM,resolved,exact_single_gleif_match_country_scoped,5299001JPPT2QFTV5D76,ams-OSRAM AG,34109k,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U10328,BMAGv,Bajaj Mobility AG,AT,BAJAJ MOBILITY,resolved,exact_single_gleif_match_country_scoped,5299008TBI1EUJJSWP89,Bajaj Mobility AG,78112x,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U10554,CAIv,CA Immobilien Anlagen Aktiengesellschaft,AT,CA IMMOBILIEN ANLAGEN,resolved,exact_single_gleif_match_country_scoped,5299003ICAPV07J0R180,CA Immobilien Anlagen Aktiengesellschaft,75895k,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U10994,CPIv,CPI Europe AG,AT,CPI EUROPE,resolved,exact_single_gleif_match_country_scoped,5299000DUMZ99SBBX121,CPI Europe AG,114425y,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U11508,EBSv,ERSTE GROUP BANK AG,AT,ERSTE GROUP BANK,resolved,exact_single_gleif_match_country_scoped,PQOH26KWDF7CG10L6792,ERSTE GROUP BANK AG,33209m,ACTIVE,first_two_words,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U12083,ETSv,EuroTeleSites AG,AT,EUROTELESITES,resolved,exact_single_gleif_match_country_scoped,5299007TJV9W1OY91Y28,EuroTeleSites AG,611727z,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U12296,FACCv,FACC AG,AT,FACC,resolved,exact_single_gleif_match_country_scoped,52990021YEMY298JY727,FACC AG,336290w,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U12414,FKAv,Frauenthal Holding AG,AT,FRAUENTHAL HOLDING,resolved,exact_single_gleif_match_country_scoped,52990038OKF8UAD5LA12,Frauenthal Holding AG,83990s,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U12437,FLUv,Flughafen Wien Aktiengesellschaft,AT,FLUGHAFEN WIEN,resolved,exact_single_gleif_match_country_scoped,549300FQ2ILBH7DJ6I45,Flughafen Wien Aktiengesellschaft,42984m,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U14191,KTCGv,Kapsch TrafficCom AG,AT,KAPSCH TRAFFICCOM,resolved,exact_single_gleif_match_country_scoped,529900PD3SI453KAW989,Kapsch TrafficCom AG,223805a,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
U14373,LNZv,Lenzing Aktiengesellschaft,AT,LENZING,resolved,exact_single_gleif_match_country_scoped,529900BKFJBI0QRDJH63,Lenzing Aktiengesellschaft,96499k,ACTIVE,first_word,v2.38BF-europe-company-registry-gleif,2026-09-07T15:22:16Z
