asset_id,ticker,company_name,cik,sec_name,sec_ticker,sec_exchange,match_tier,fetch_status,fetch_reason,phase,created_at_utc
U09211,0QFd,Moderna Inc,0001682852,"Moderna, Inc.",MRNA,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09222,12DAd,Dell Technologies Inc,0001571996,Dell Technologies Inc.,DELL,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09229,1AALm,American Airlines Group Inc,0000006201,American Airlines Group Inc.,AAL,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09231,1ADMm,Archer-Daniels-Midland Co,0000007084,Archer-Daniels-Midland Co,ADM,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09233,1ANFm,Abercrombie & Fitch Co,0001018840,ABERCROMBIE & FITCH CO /DE/,ANF,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09234,1APPm,AppLovin Corp,0001751008,AppLovin Corp,APP,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09237,1BLEm,Bloom Energy Corp,0001664703,Bloom Energy Corp,BE,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09240,1CNCm,Centene Corp,0001071739,CENTENE CORP,CNC,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09244,1HOODm,Robinhood Markets Inc,0001783879,"Robinhood Markets, Inc.",HOOD,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09246,1KTOSm,Kratos Defense & Security Solutions Inc,0001069258,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",KTOS,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09249,1MNSTm,Monster Beverage Corp,0000865752,Monster Beverage Corp,MNST,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09252,1PANWm,Palo Alto Networks Inc,0001327567,Palo Alto Networks Inc,PANW,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09255,1PATHm,UiPath Inc,0001734722,"UiPath, Inc.",PATH,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09256,1PLTRm,Palantir Technologies Inc,0001321655,Palantir Technologies Inc.,PLTR,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09257,1QZd,Coinbase Global Inc,0001679788,"Coinbase Global, Inc.",COIN,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09260,1RIVNm,Rivian Automotive Inc,0001874178,"Rivian Automotive, Inc. / DE",RIVN,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09261,1SId,Snap Inc,0001564408,Snap Inc,SNAP,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09262,1SPCXm,Space Exploration Technologies Corp,0001181412,SPACE EXPLORATION TECHNOLOGIES CORP,SPCX,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09264,1TTEKm,Tetra Tech Inc,0000831641,TETRA TECH INC,TTEK,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09268,1WULFm,Terawulf Inc,0001083301,TERAWULF INC.,WULF,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09303,2OYd,Dow Inc,0001751788,DOW INC.,DOW,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09306,2PPd,PayPal Holdings Inc,0001633917,"PayPal Holdings, Inc.",PYPL,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09316,33Ld,Lululemon Athletica Inc,0001397187,lululemon athletica inc.,LULU,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09452,3QDd,Datadog Inc,0001561550,"Datadog, Inc.",DDOG,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09518,4I1d,Philip Morris International Inc,0001413329,Philip Morris International Inc.,PM,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09523,4S0d,ServiceNow Inc,0001373715,"ServiceNow, Inc.",NOW,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09555,6MKd,Merck & Co Inc,0000310158,"Merck & Co., Inc.",MRK,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09560,6Z1d,Airbnb Inc,0001559720,"Airbnb, Inc.",ABNB,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09562,7DBd,Diamondback Energy Inc,0001539838,"Diamondback Energy, Inc.",FANG,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09668,ADBd,Adobe Inc,0000796343,ADOBE INC.,ADBE,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09882,AMDd,Advanced Micro Devices Inc,0000002488,ADVANCED MICRO DEVICES INC,AMD,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09892,AMGa,AMG Critical Materials NV,,,,,,unresolved,no_exact_normalized_name_match,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09908,AMZd,Amazon.com Inc,0001018724,AMAZON COM INC,AMZN,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U09936,AP2d,Applied Materials Inc,0000006951,APPLIED MATERIALS INC /DE,AMAT,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U10006,ASMa,ASM International NV,,,,,,unresolved,no_exact_normalized_name_match,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U10056,AUDd,Autodesk Inc,0000769397,"Autodesk, Inc.",ADSK,Nasdaq,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U10153,BACd,Verizon Communications Inc,0000732712,VERIZON COMMUNICATIONS INC,VZ,NYSE,exact_normalized_name,resolved,,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
U10225,BEKBb,Bekaert SA,,,,,,unresolved,no_exact_normalized_name_match,v2.38BI-us-cboe-secondary-identity-sec,2026-09-07T21:56:23+00:00
