asset_id,ticker,company_name,exchange,cik,enrichment_status,records,metrics_available,annual_records,quarterly_records,latest_filed,latest_period_end,quality_status,missing_metrics,quality_flags
U09211,0QFd,Moderna Inc,CBOE_EUROPE,0001682852,ENRICHED_SEC_READY,783,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,208,575,2026-07-31,2026-06-30,NORMALIZED_READY,,
U09222,12DAd,Dell Technologies Inc,CBOE_EUROPE,0001571996,ENRICHED_SEC_READY,1127,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,393,734,2026-06-09,2026-05-01,NORMALIZED_READY,,
U09229,1AALm,American Airlines Group Inc,CBOE_EUROPE,0000006201,ENRICHED_SEC_READY,1682,assets|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,652,1030,2026-07-23,2026-06-30,NORMALIZED_PARTIAL,capex|liabilities,concept_missing
U09231,1ADMm,Archer-Daniels-Midland Co,CBOE_EUROPE,0000007084,ENRICHED_SEC_READY,2241,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,950,1291,2026-08-04,2026-06-30,NORMALIZED_PARTIAL,liabilities,concept_missing
U09233,1ANFm,Abercrombie & Fitch Co,CBOE_EUROPE,0001018840,ENRICHED_SEC_READY,1772,assets|capex|eps_basic|eps_diluted|equity|net_income|operating_cash_flow|revenue,602,1170,2026-09-04,2026-08-01,NORMALIZED_PARTIAL,liabilities,concept_missing
U09234,1APPm,AppLovin Corp,CBOE_EUROPE,0001751008,ENRICHED_SEC_READY,620,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,142,478,2026-08-05,2026-06-30,NORMALIZED_READY,,
U09237,1BLEm,Bloom Energy Corp,CBOE_EUROPE,0001664703,ENRICHED_SEC_READY,908,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,274,634,2026-04-29,2026-03-31,NORMALIZED_READY,,
U09240,1CNCm,Centene Corp,CBOE_EUROPE,0001071739,ENRICHED_SEC_READY,2177,assets|capex|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,759,1418,2026-07-28,2026-06-30,NORMALIZED_READY,,
U09244,1HOODm,Robinhood Markets Inc,CBOE_EUROPE,0001783879,ENRICHED_SEC_READY,540,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,138,402,2026-07-30,2026-06-30,NORMALIZED_PARTIAL,capex,concept_missing
U09246,1KTOSm,Kratos Defense & Security Solutions Inc,CBOE_EUROPE,0001069258,ENRICHED_SEC_READY,1616,assets|eps_basic|eps_diluted|equity|liabilities|net_income|operating_cash_flow|revenue,577,1039,2026-08-04,2026-06-28,NORMALIZED_PARTIAL,capex,concept_missing
