asset_id,ticker,company_name,country,source,unicorn_status,unicorn_reason,phase
U00006,AAL,"American Airlines Group, Inc. - Common Stock",US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,"us_fundamental_momentum_flag_false:no_real_margin_expansion,no_real_positive_free_cash_flow",v2.38BT-global-unicorn-flag
U00007,AAME,Atlantic American Corporation - Common Stock,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:no_real_margin_expansion,v2.38BT-global-unicorn-flag
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:no_real_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00009,AAON,"AAON, Inc. - Common Stock",US,us_sec_v2_38g,INSUFFICIENT_DATA,us_growth_features_not_computable_for_this_company,v2.38BT-global-unicorn-flag
U00011,AAPL,Apple Inc. - Common Stock,US,us_sec_v2_38g,EVALUATED_UNICORN,us_fundamental_momentum_flag_true_real_revenue_growth_and_margin_expansion_and_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00012,AARD,"Aardvark Therapeutics, Inc. - Common Stock",US,us_sec_v2_38g,INSUFFICIENT_DATA,us_growth_features_not_computable_for_this_company,v2.38BT-global-unicorn-flag
U00013,ABAT,American Battery Technology Company - Common Stock,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:no_real_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00014,ABCL,AbCellera Biologics Inc. - Common Shares,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:no_real_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:no_real_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:revenue_growth_not_positive,v2.38BT-global-unicorn-flag
U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,"us_fundamental_momentum_flag_false:no_real_margin_expansion,no_real_positive_free_cash_flow",v2.38BT-global-unicorn-flag
U00018,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",US,us_sec_v2_38g,INSUFFICIENT_DATA,us_growth_features_not_computable_for_this_company,v2.38BT-global-unicorn-flag
U00019,ABSI,Absci Corporation - Common Stock,US,us_sec_v2_38g,INSUFFICIENT_DATA,us_growth_features_not_computable_for_this_company,v2.38BT-global-unicorn-flag
U00020,ABTC,American Bitcoin Corp. - Class A Common Stock,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:no_real_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00021,ABTS,Abits Group Inc - Ordinary Shares,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,"us_fundamental_momentum_flag_false:no_real_margin_expansion,no_real_positive_free_cash_flow",v2.38BT-global-unicorn-flag
U00022,ABUS,Arbutus Biopharma Corporation - Common Stock,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,us_fundamental_momentum_flag_false:no_real_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00023,ABVC,"ABVC BioPharma, Inc. - Common Stock",US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,"us_fundamental_momentum_flag_false:revenue_growth_not_positive,no_real_margin_expansion,no_real_positive_free_cash_flow",v2.38BT-global-unicorn-flag
U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,US,us_sec_v2_38g,EVALUATED_UNICORN,us_fundamental_momentum_flag_true_real_revenue_growth_and_margin_expansion_and_positive_free_cash_flow,v2.38BT-global-unicorn-flag
U00027,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,US,us_sec_v2_38g,INSUFFICIENT_DATA,us_growth_features_not_computable_for_this_company,v2.38BT-global-unicorn-flag
U00028,ACDC,ProFrac Holding Corp. - Class A Common Stock,US,us_sec_v2_38g,EVALUATED_NOT_UNICORN,"us_fundamental_momentum_flag_false:revenue_growth_not_positive,no_real_margin_expansion",v2.38BT-global-unicorn-flag
U00029,ACET,"Adicet Bio, Inc. - Common Stock",US,us_sec_v2_38g,INSUFFICIENT_DATA,us_growth_features_not_computable_for_this_company,v2.38BT-global-unicorn-flag
