asset_id,ticker,company_name,country,eligibility_status,confidence,coverage_weight,total_score,rank,review_reasons,phase
U00006,AAL,"American Airlines Group, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.94,39.35357561,236,,v2.38BV-global-research-ranking
U00007,AAME,Atlantic American Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,38.48983685,242,,v2.38BV-global-research-ranking
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,43.84518966,218,,v2.38BV-global-research-ranking
U00009,AAON,"AAON, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,MEDIUM,0.74,44.39294061,215,,v2.38BV-global-research-ranking
U00011,AAPL,Apple Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,70.60157141,28,,v2.38BV-global-research-ranking
U00012,AARD,"Aardvark Therapeutics, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,38.01379892,,,v2.38BV-global-research-ranking
U00013,ABAT,American Battery Technology Company - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00014,ABCL,AbCellera Biologics Inc. - Common Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.9,52.62172224,155,,v2.38BV-global-research-ranking
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.8,48.99942759,179,,v2.38BV-global-research-ranking
U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.8,75.17498052,9,,v2.38BV-global-research-ranking
U00018,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,42.18045089,,,v2.38BV-global-research-ranking
U00019,ABSI,Absci Corporation - Common Stock,USA,PARTIAL_COMPARABILITY,LOW,0.54,52.27774167,,,v2.38BV-global-research-ranking
U00020,ABTC,American Bitcoin Corp. - Class A Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.8,47.75993952,188,,v2.38BV-global-research-ranking
U00021,ABTS,Abits Group Inc - Ordinary Shares,USA,ELIGIBLE_PARTIAL,HIGH,0.9,41.14492219,229,,v2.38BV-global-research-ranking
U00022,ABUS,Arbutus Biopharma Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,45.98381097,202,,v2.38BV-global-research-ranking
U00023,ABVC,"ABVC BioPharma, Inc. - Common Stock",USA,REVIEW_REQUIRED,NOT_RANKABLE,0.9,,,absolute_margin_outside_300pct,v2.38BV-global-research-ranking
U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,1.0,75.40562632,8,,v2.38BV-global-research-ranking
U00027,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,USA,PARTIAL_COMPARABILITY,LOW,0.64,75.79347638,,,v2.38BV-global-research-ranking
U00028,ACDC,ProFrac Holding Corp. - Class A Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.8,29.73236968,291,,v2.38BV-global-research-ranking
U00029,ACET,"Adicet Bio, Inc. - Common Stock",USA,PARTIAL_COMPARABILITY,LOW,0.64,43.99853332,,,v2.38BV-global-research-ranking
U00030,ACFN,"Acorn Energy, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,55.69875892,125,,v2.38BV-global-research-ranking
U00032,ACGL,Arch Capital Group Ltd. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,70.69954194,26,,v2.38BV-global-research-ranking
U00033,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,41.448479,226,,v2.38BV-global-research-ranking
U00034,ACHV,"Achieve Life Sciences, Inc. - Common Shares",USA,PARTIAL_COMPARABILITY,LOW,0.64,43.91611665,,,v2.38BV-global-research-ranking
U00035,ACIC,American Coastal Insurance Corporation - Common Stock,USA,REVIEW_REQUIRED,NOT_RANKABLE,1.0,,,financial_institution_requires_separate_factor_contract,v2.38BV-global-research-ranking
U00037,ACIW,"ACI Worldwide, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,1.0,68.0898964,45,,v2.38BV-global-research-ranking
U00038,ACLS,"Axcelis Technologies, Inc. - Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,57.18883086,115,,v2.38BV-global-research-ranking
U00039,ACMR,"ACM Research, Inc. - Class A Common Stock",USA,ELIGIBLE_PARTIAL,HIGH,0.9,59.74902738,101,,v2.38BV-global-research-ranking
U00040,ACNB,ACNB Corporation - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,73.95952287,15,,v2.38BV-global-research-ranking
U00041,ACNT,Ascent Industries Co. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,47.64788325,191,,v2.38BV-global-research-ranking
U00042,ACOG,Alpha Cognition Inc. - Common Stock,USA,ELIGIBLE_PARTIAL,HIGH,0.9,37.94487038,247,,v2.38BV-global-research-ranking
