target,check,status
src/ui_v2_37/global_ranking.py,forbidden_token_absent:score_assets(,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:percentile_scores(,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:build_raw_factors(,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:subprocess.,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:os.system(,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:requests.,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:urllib.,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:httpx.,PASS
src/ui_v2_37/global_ranking.py,forbidden_token_absent:urlopen(,PASS
app_v2_37.py,ui_recompute_token_absent:score_assets(,PASS
app_v2_37.py,ui_recompute_token_absent:percentile_scores(,PASS
app_v2_37.py,ui_recompute_token_absent:build_raw_factors(,PASS
app_v2_37.py,ui_recompute_token_absent:subprocess.,PASS
app_v2_37.py,ui_recompute_token_absent:os.system(,PASS
src/ui_v2_37/global_ranking.py;app_v2_37.py,no_recompute_script_import,PASS
src/ui_v2_37/global_ranking.py,loader_points_to_v2_38bv_results,PASS
app_v2_37.py,screen_label_is_experimental,PASS
