asset_id,ticker,company_name,exchange,mic,country,currency,instrument_type,source_provider,eligibility_status,identity_status,readiness_status,blocker_reason,normalized_exchange_group,sec_identity_status,price_route_status,fundamental_route_status,phase
U00002,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,REVIEW,COMPLETE,NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,NASDAQ,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,v2.38C
U00003,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,REVIEW,COMPLETE,NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,NASDAQ,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,v2.38C
U00004,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,REVIEW,COMPLETE,NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,NASDAQ,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,v2.38C
U00005,AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,REVIEW,COMPLETE,NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,NASDAQ,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,v2.38C
U00006,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,ELIGIBLE,COMPLETE,US_TICKER_EXCHANGE_READY,SEC CIK route and adjusted price provider pilot required,NASDAQ,US_CIK_MAPPING_REQUIRED,US_PRICE_CREDENTIAL_REQUIRED,US_CIK_MAPPING_REQUIRED,v2.38C
U00007,AAME,Atlantic American Corporation - Common Stock,NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,ELIGIBLE,COMPLETE,US_TICKER_EXCHANGE_READY,SEC CIK route and adjusted price provider pilot required,NASDAQ,US_CIK_MAPPING_REQUIRED,US_PRICE_CREDENTIAL_REQUIRED,US_CIK_MAPPING_REQUIRED,v2.38C
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,ELIGIBLE,COMPLETE,US_TICKER_EXCHANGE_READY,SEC CIK route and adjusted price provider pilot required,NASDAQ,US_CIK_MAPPING_REQUIRED,US_PRICE_CREDENTIAL_REQUIRED,US_CIK_MAPPING_REQUIRED,v2.38C
U00009,AAON,"AAON, Inc. - Common Stock",NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,ELIGIBLE,COMPLETE,US_TICKER_EXCHANGE_READY,SEC CIK route and adjusted price provider pilot required,NASDAQ,US_CIK_MAPPING_REQUIRED,US_PRICE_CREDENTIAL_REQUIRED,US_CIK_MAPPING_REQUIRED,v2.38C
U00010,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,XNAS,USA,,ADR,nasdaq_trader_nasdaqlisted,ELIGIBLE,COMPLETE,US_TICKER_EXCHANGE_READY,SEC CIK route and adjusted price provider pilot required,NASDAQ,US_CIK_MAPPING_REQUIRED,US_PRICE_CREDENTIAL_REQUIRED,US_CIK_MAPPING_REQUIRED,v2.38C
U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,XNAS,USA,,COMMON_STOCK,nasdaq_trader_nasdaqlisted,ELIGIBLE,COMPLETE,US_TICKER_EXCHANGE_READY,SEC CIK route and adjusted price provider pilot required,NASDAQ,US_CIK_MAPPING_REQUIRED,US_PRICE_CREDENTIAL_REQUIRED,US_CIK_MAPPING_REQUIRED,v2.38C
