freeze_id,category,item,expected,actual,severity,status,evidence_path,note
FREEZE-001,SOURCE_AUDIT,source audit summary exists,true,true,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
FREEZE-002,SOURCE_AUDIT,source audit status accepted,RELEASE_CANDIDATE_AUDIT_PASS_WITH_DOCUMENTED_LIMITATIONS,RELEASE_CANDIDATE_AUDIT_PASS_WITH_DOCUMENTED_LIMITATIONS,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
FREEZE-003,SOURCE_AUDIT,source qa status,PASS,PASS,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
FREEZE-004,SOURCE_AUDIT,source fail count,0,0,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
FREEZE-005,SOURCE_AUDIT,source warning count,0,0,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
FREEZE-006,SOURCE_AUDIT,source blocking issue count,0,0,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
FREEZE-007,LIMITATIONS,documented limitations preserved,true,true,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
FREEZE-008,TRACEABILITY,source traceability exists,true,true,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_traceability_v2_38ch.csv,No action required.
FREEZE-009,TRACEABILITY,source matrix exists,true,true,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_matrix_v2_38ch.csv,No action required.
FREEZE-010,REPORTING,source report exists,true,true,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/RELEASE_CANDIDATE_AUDIT_v2_38ch.md,No action required.
FREEZE-011,MANIFEST,source manifest exists,true,true,FAIL,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_manifest_v2_38ch.json,No action required.
