check_id,category,item,expected,actual,status,evidence_path,note
HANDOFF-001,SOURCE_FREEZE,freeze candidate summary exists,true,true,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
HANDOFF-002,SOURCE_FREEZE,freeze status accepted,FREEZE_CANDIDATE_VERSION_LOCKED_WITH_DOCUMENTED_LIMITATIONS,FREEZE_CANDIDATE_VERSION_LOCKED_WITH_DOCUMENTED_LIMITATIONS,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
HANDOFF-003,SOURCE_FREEZE,freeze qa status,PASS,PASS,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
HANDOFF-004,SOURCE_FREEZE,freeze failures,0,0,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
HANDOFF-005,SOURCE_FREEZE,freeze warnings,0,0,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
HANDOFF-006,SOURCE_FREEZE,freeze blocking issues,0,0,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
HANDOFF-007,MANIFEST,freeze manifest available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_manifest_v2_38ci.json,No action required.
HANDOFF-008,TRACEABILITY,freeze traceability available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_traceability_v2_38ci.csv,No action required.
HANDOFF-009,LOCAL_GUIDE,operator guide available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38ca_release_candidate_local/OPERATOR_GUIDE_LOCAL_v2_38ca.md,No action required.
HANDOFF-010,LOCAL_GUIDE,dummy-friendly guide available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38cc_user_guide_dummy_friendly/USER_GUIDE_DUMMY_FRIENDLY_v2_38cc.md,No action required.
HANDOFF-011,PACKAGING,Windows packaging summary available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38ce_windows_reproducible_packaging/windows_reproducible_packaging_summary_v2_38ce.json,No action required.
HANDOFF-012,SMOKE_TEST,Streamlit smoke evidence available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38cf_streamlit_visual_smoke_test/streamlit_visual_smoke_test_summary_v2_38cf.json,No action required.
HANDOFF-013,RISK_REGISTER,risk register available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38cg_limitations_backlog_product_risk_register/product_risk_register_v2_38cg.csv,No action required.
HANDOFF-014,RELEASE_AUDIT,release audit available,true,true,PASS,outputs/full_universe_source_acquisition/v2_38ch_release_candidate_audit/release_candidate_audit_summary_v2_38ch.json,No action required.
HANDOFF-015,PUBLICATION_SCOPE,publication scope,local_research_tool_only,local_research_tool_only,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
HANDOFF-016,CYCLE,cycle status,V2_38_LOCAL_CYCLE_CLOSED,V2_38_LOCAL_CYCLE_CLOSED,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
RANKING-ranking_total,RANKING_COUNTS,ranking_total,1111,1111,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
RANKING-ranking_main_count,RANKING_COUNTS,ranking_main_count,318,318,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
RANKING-ranking_partial_count,RANKING_COUNTS,ranking_partial_count,373,373,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
RANKING-ranking_review_required_count,RANKING_COUNTS,ranking_review_required_count,124,124,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
RANKING-ranking_blocked_count,RANKING_COUNTS,ranking_blocked_count,270,270,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
RANKING-ranking_no_adapter_count,RANKING_COUNTS,ranking_no_adapter_count,26,26,PASS,outputs/full_universe_source_acquisition/v2_38ci_freeze_candidate_version/freeze_candidate_summary_v2_38ci.json,No action required.
GUARDRAIL-network_allowed,GUARDRAILS,network_allowed,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-network_used,GUARDRAILS,network_used,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-scoring_recomputed,GUARDRAILS,scoring_recomputed,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-weights_changed,GUARDRAILS,weights_changed,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-ranking_changed,GUARDRAILS,ranking_changed,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-methodology_changed,GUARDRAILS,methodology_changed,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-datasets_mutated,GUARDRAILS,datasets_mutated,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-ui_changed,GUARDRAILS,ui_changed,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-financial_advice_created,GUARDRAILS,financial_advice_created,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-recommendations_created,GUARDRAILS,recommendations_created,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-broker_actions_allowed,GUARDRAILS,broker_actions_allowed,false,false,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
GUARDRAIL-final_publication_declared,GUARDRAILS,final_publication_declared,true,true,PASS,config/final_operational_publication_contract_v2_38cj.json,No action required.
