asset_id,ticker,exchange,company_name,cik,sec_entity_name,sic,fiscal_year_end,sec_ticker,sec_exchange,identity_status,review_reason,evidence_source,submissions_available,companyfacts_available,basic_concepts_available,evidence_hash,phase
U00002,AACB,NASDAQ,Artius II Acquisition Inc. - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,8f27cfa136eabadd2e8d64bd003ca36637d88aba80801f5146eca4c74f2fa847,v2.38D
U00003,AACI,NASDAQ,Armada Acquisition Corp. III - Class A Ordinary Share,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,b77cdfb25f112490391eb4f7f3cd590abf45b41977189f69c4e6e0ea3fc78328,v2.38D
U00004,AACO,NASDAQ,Abony Acquisition Corp. I - Class A Ordinary Share,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,df8f856a268fb97baa4a17ea1455cca8596d0e70f9283fb0848462a06b560640,v2.38D
U00005,AACP,NASDAQ,Apogee Acquisition Corp - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,42825ccbb61c0b7dc982dbc4dc025f6d138cae11b113b6b8d8901ee95a08c892,v2.38D
U00006,AAL,NASDAQ,"American Airlines Group, Inc. - Common Stock",0000006201,American Airlines Group Inc.,4512,1231,AAL,Nasdaq,US_SEC_CIK_RESOLVED,,SEC company_tickers_exchange cache,true,true,6,3c8704536a9ad0a46e40385241ea5ce99cc24f8d99a853dd30efbb84e490c8d3,v2.38D
U00007,AAME,NASDAQ,Atlantic American Corporation - Common Stock,0000008177,ATLANTIC AMERICAN CORP,6311,1231,AAME,Nasdaq,US_SEC_CIK_RESOLVED,,SEC company_tickers_exchange cache,true,true,8,83c0d79aaa745ddafeed31b1c11e7f0f0115fc814ef8d19748f0204d1525aa1d,v2.38D
U00008,AAOI,NASDAQ,"Applied Optoelectronics, Inc. - Common Stock",0001158114,"APPLIED OPTOELECTRONICS, INC.",3674,1231,AAOI,Nasdaq,US_SEC_CIK_RESOLVED,,SEC company_tickers_exchange cache,true,true,8,cb1bd0e4ff8edbfacd1735b0836e2abef6c340291a9e410be470754f2d84fb8b,v2.38D
U00009,AAON,NASDAQ,"AAON, Inc. - Common Stock",0000824142,"AAON, INC.",3585,1231,AAON,Nasdaq,US_SEC_CIK_RESOLVED,,SEC company_tickers_exchange cache,true,true,5,ac7cde1c05f1f36fcc4a371ec7003bcffccee88ca9085b445f74a281ad47bcb1,v2.38D
U00010,AAPG,NASDAQ,Ascentage Pharma Group International - American Depository Shares,0002023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,2834,1231,AAPG,Nasdaq,US_SEC_CIK_RESOLVED,,SEC company_tickers_exchange cache,true,true,0,a9a28b0c03b0a946db0eb2f01b7ac69b1e8503475cff4eeff6263d195ac01fa6,v2.38D
U00011,AAPL,NASDAQ,Apple Inc. - Common Stock,0000320193,Apple Inc.,3571,0926,AAPL,Nasdaq,US_SEC_CIK_RESOLVED,,SEC company_tickers_exchange cache,true,true,8,19f556ffb7da742d54555cf37e3d5dba9689e76303e947273861b2d9c2dc8533,v2.38D
U00012,AARD,NASDAQ,"Aardvark Therapeutics, Inc. - Common Stock",0001774857,"Aardvark Therapeutics, Inc.",2834,1231,AARD,Nasdaq,US_SEC_CIK_RESOLVED,,SEC company_tickers_exchange cache,true,true,7,aabbf2edbc731e8d8e2fb5db2d6b04fa61ca180ca03e5c773777a1d0d426149c,v2.38D
