asset_id,ticker,exchange,company_name,cik,sec_entity_name,sic,fiscal_year_end,sec_ticker,sec_exchange,identity_status,review_reason,evidence_source,submissions_available,companyfacts_available,basic_concepts_available,evidence_hash,phase
U00002,AACB,NASDAQ,Artius II Acquisition Inc. - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,8f27cfa136eabadd2e8d64bd003ca36637d88aba80801f5146eca4c74f2fa847,v2.38D
U00003,AACI,NASDAQ,Armada Acquisition Corp. III - Class A Ordinary Share,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,b77cdfb25f112490391eb4f7f3cd590abf45b41977189f69c4e6e0ea3fc78328,v2.38D
U00004,AACO,NASDAQ,Abony Acquisition Corp. I - Class A Ordinary Share,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,df8f856a268fb97baa4a17ea1455cca8596d0e70f9283fb0848462a06b560640,v2.38D
U00005,AACP,NASDAQ,Apogee Acquisition Corp - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,42825ccbb61c0b7dc982dbc4dc025f6d138cae11b113b6b8d8901ee95a08c892,v2.38D
U00024,ACAA,NASDAQ,Averin Capital Acquisition Corp. - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,889a0fc287e8082dedd2958691377cf27b455757523408f86471c34140a85f12,v2.38D
U00031,ACGC,NASDAQ,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,11961f32de11e309ad29647d17454244bf415fb2ed2720baeab02257dc089c2b,v2.38D
U00050,ADAC,NASDAQ,American Drive Acquisition Company - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,f37f1de71131e0794ac441f31cf699dc2bc2d46a14c064c72068871293afc6a0,v2.38D
U00052,ADAM,NASDAQ,"Adamas Trust, Inc. - Common Stock",,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_fund_or_trust,v2.38C US census,false,false,0,f8ba2719cdf2f75debcd9e000a10372f833daa8080939f5abf64bd831772e954,v2.38D
U00068,AEAQ,NASDAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,e99ef1f0966a45be03040af3ecbac15fa8a98bc64083f437df676abbe8f45dcf,v2.38D
U00079,AESP,NASDAQ,Aeon Acquisition I Corp. - Class A Ordinary Shares,,,,,,,US_SEC_NOT_ELIGIBLE,company_name_indicates_acquisition_company_or_blank_check,v2.38C US census,false,false,0,716a59d11028801db3d2f28093fbabab18bfbb46345dd6a71f9bdc0d4767285a,v2.38D
U00082,AFBI,NASDAQ,"Affinity Bancshares, Inc. - Common Stock",,,,,,,US_SEC_CIK_MISSING,ticker not found in SEC company_tickers_exchange cache,SEC company_tickers_exchange cache,false,false,0,22e1e0ed49d7a938cae11dcc76d757714e59ddb6f100b61d9419efca6a37e2a6,v2.38D
U00127,ALBT,NASDAQ,Avalon GloboCare Corp. - Common Stock,,,,,,,US_SEC_CIK_MISSING,ticker not found in SEC company_tickers_exchange cache,SEC company_tickers_exchange cache,false,false,0,28a667792cbd0d3d7a574e89456506a5dad17570d71ea37ef3b4376af8fcd474,v2.38D
