asset_id,ticker,company_name,exchange,cik,selection_reason
U00657,CMCO,Columbus McKinnon Corporation - Common Stock,NASDAQ,0001005229,deterministic_pending_sec_collection
U00658,CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ,0001166691,deterministic_pending_sec_collection
U00659,CMCT,Creative Media - Common Stock,NASDAQ,0000908311,deterministic_pending_sec_collection
U00660,CME,CME Group Inc. - Class A Common Stock,NASDAQ,0001156375,deterministic_pending_sec_collection
U00661,CMII,Columbus Circle Capital Corp II - Class A Ordinary Shares,NASDAQ,0002088805,deterministic_pending_sec_collection
U00662,CMND,Clearmind Medicine Inc. - Common Shares,NASDAQ,0001892500,deterministic_pending_sec_collection
U00663,CMPR,Cimpress plc - Ordinary Shares,NASDAQ,0001262976,deterministic_pending_sec_collection
U00664,CMPS,COMPASS Pathways Plc - American Depository Shares,NASDAQ,0001816590,deterministic_pending_sec_collection
U00665,CMPX,"Compass Therapeutics, Inc. - Common Stock",NASDAQ,0001738021,deterministic_pending_sec_collection
U00666,CMRC,"Commerce.com, Inc. - Series 1 Common Stock",NASDAQ,0001626450,deterministic_pending_sec_collection
U00667,CMTL,Comtech Telecommunications Corp. - Common Stock,NASDAQ,0000023197,deterministic_pending_sec_collection
U00668,CMTV,Community Bancorp. - Common stock,NASDAQ,0000718413,deterministic_pending_sec_collection
U00669,CNCK,Coincheck Group N.V. - Ordinary Shares,NASDAQ,0001913847,deterministic_pending_sec_collection
U00670,CNDT,Conduent Incorporated - Common Stock,NASDAQ,0001677703,deterministic_pending_sec_collection
U00671,CNET,ZW Data Action Technologies Inc. - Common Stock,NASDAQ,0001376321,deterministic_pending_sec_collection
U00672,CNEY,CN Energy Group Inc. - Class A Ordinary Shares,NASDAQ,0001780785,deterministic_pending_sec_collection
U00673,CNOB,"ConnectOne Bancorp, Inc. - Common Stock",NASDAQ,0000712771,deterministic_pending_sec_collection
U00674,CNSP,"CNS Pharmaceuticals, Inc. - Common Stock",NASDAQ,0001729427,deterministic_pending_sec_collection
U00675,CNTB,Connect Biopharma Holdings Limited - Ordinary Shares,NASDAQ,0001835268,deterministic_pending_sec_collection
U00676,CNTN,"Canton Strategic Holdings, Inc. - Common Stock",NASDAQ,0001861657,deterministic_pending_sec_collection
U00677,CNTX,Context Therapeutics Inc. - Common Stock,NASDAQ,0001842952,deterministic_pending_sec_collection
U00678,CNTY,"Century Casinos, Inc. - Common Stock",NASDAQ,0000911147,deterministic_pending_sec_collection
U00679,CNVS,Cineverse Corp. - Class A Common Stock,NASDAQ,0001173204,deterministic_pending_sec_collection
U00680,CNXC,Concentrix Corporation - Common Stock,NASDAQ,0001803599,deterministic_pending_sec_collection
U00681,CNXN,"PC Connection, Inc. - Common Stock",NASDAQ,0001050377,deterministic_pending_sec_collection
U00682,CNXU,Conexeu Sciences Inc. - Common Stock,NASDAQ,0002066836,deterministic_pending_sec_collection
U00683,COAG,"Hemab Therapeutics Holdings, Inc. - Common Stock",NASDAQ,0002114044,deterministic_pending_sec_collection
U00684,COCH,"Envoy Medical, Inc. - Class A Common Stock",NASDAQ,0001840877,deterministic_pending_sec_collection
U00685,COCO,"The Vita Coco Company, Inc. - Common Stock",NASDAQ,0001482981,deterministic_pending_sec_collection
U00686,COCP,"Cocrystal Pharma, Inc. - Common Stock",NASDAQ,0001412486,deterministic_pending_sec_collection
U00687,CODA,"Coda Octopus Group, Inc. - Common stock",NASDAQ,0001334325,deterministic_pending_sec_collection
U00688,CODX,"Co-Diagnostics, Inc. - Common Stock",NASDAQ,0001692415,deterministic_pending_sec_collection
U00689,COFS,"ChoiceOne Financial Services, Inc. - Common Stock",NASDAQ,0000803164,deterministic_pending_sec_collection
U00690,COGT,"Cogent Biosciences, Inc. - Common Stock",NASDAQ,0001622229,deterministic_pending_sec_collection
U00691,COHU,"Cohu, Inc. - Common Stock",NASDAQ,0000021535,deterministic_pending_sec_collection
U00692,COIN,"Coinbase Global, Inc. - Class A Common Stock",NASDAQ,0001679788,deterministic_pending_sec_collection
U00693,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",NASDAQ,0000317540,deterministic_pending_sec_collection
U00695,COLB,"Columbia Banking System, Inc. - Common Stock",NASDAQ,0000887343,deterministic_pending_sec_collection
U00696,COLL,"Collegium Pharmaceutical, Inc. - Common Stock",NASDAQ,0001267565,deterministic_pending_sec_collection
U00697,COLM,Columbia Sportswear Company - Common Stock,NASDAQ,0001050797,deterministic_pending_sec_collection
U00698,COO,"The Cooper Companies, Inc. - Common Stock",NASDAQ,0000711404,deterministic_pending_sec_collection
U00699,COOT,Australian Oilseeds Holdings Limited - Ordinary Shares,NASDAQ,0001959994,deterministic_pending_sec_collection
U00700,CORT,Corcept Therapeutics Incorporated - Common Stock,NASDAQ,0001088856,deterministic_pending_sec_collection
U00701,CORZ,"Core Scientific, Inc. - Common Stock",NASDAQ,0001839341,deterministic_pending_sec_collection
U00702,COSM,Cosmos Health Inc. - Common Stock,NASDAQ,0001474167,deterministic_pending_sec_collection
U00703,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,0000909832,deterministic_pending_sec_collection
U00704,COYA,"Coya Therapeutics, Inc. - Common Stock",NASDAQ,0001835022,deterministic_pending_sec_collection
U00705,CPB,The Campbell's Company - Common Stock,NASDAQ,0000016732,deterministic_pending_sec_collection
U00706,CPBI,"Central Plains Bancshares, Inc. - Common Stock",NASDAQ,0001979332,deterministic_pending_sec_collection
U00707,CPHC,Canterbury Park Holding Corporation - Common Stock,NASDAQ,0001672909,deterministic_pending_sec_collection
U00708,CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,NASDAQ,0001087294,deterministic_pending_sec_collection
U00709,CPOP,"Pop Culture Group Co., Ltd - Class A Ordinary Shares",NASDAQ,0001807389,deterministic_pending_sec_collection
U00710,CPRT,"Copart, Inc. - Common Stock",NASDAQ,0000900075,deterministic_pending_sec_collection
U00712,CPSH,CPS Technologies Corp. - Common Stock,NASDAQ,0000814676,deterministic_pending_sec_collection
U00713,CPSS,"Consumer Portfolio Services, Inc. - Common Stock",NASDAQ,0000889609,deterministic_pending_sec_collection
U00716,CRAI,"CRA International,Inc. - Common Stock",NASDAQ,0001053706,deterministic_pending_sec_collection
U00719,CRBP,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock",NASDAQ,0001595097,deterministic_pending_sec_collection
U00720,CRBU,"Caribou Biosciences, Inc. - Common Stock",NASDAQ,0001619856,deterministic_pending_sec_collection
U00721,CRCT,"Cricut, Inc. - Class A common stock",NASDAQ,0001828962,deterministic_pending_sec_collection
U00722,CRDF,"Cardiff Oncology, Inc. - Common Stock",NASDAQ,0001213037,deterministic_pending_sec_collection
U00723,CRDL,Cardiol Therapeutics Inc. - Class A Common Shares,NASDAQ,0001702123,deterministic_pending_sec_collection
U00724,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,NASDAQ,0001807794,deterministic_pending_sec_collection
U00725,CRE,Cre8 Enterprise Limited - Class A Ordinary Shares,NASDAQ,0002003977,deterministic_pending_sec_collection
U00726,CREG,Smart Powerr Corp. - Common Stock,NASDAQ,0000721693,deterministic_pending_sec_collection
U00727,CREX,"Creative Realities, Inc. - Common Stock",NASDAQ,0001356093,deterministic_pending_sec_collection
U00728,CRGO,Freightos Limited - Ordinary shares,NASDAQ,0001927719,deterministic_pending_sec_collection
U00729,CRIS,"Curis, Inc. - Common Stock",NASDAQ,0001108205,deterministic_pending_sec_collection
U00730,CRMD,CorMedix Inc. - Common Stock,NASDAQ,0001410098,deterministic_pending_sec_collection
U00731,CRML,Critical Metals Corp. - Ordinary Shares,NASDAQ,0001951089,deterministic_pending_sec_collection
U00732,CRMT,"America's Car-Mart, Inc. - Common Stock",NASDAQ,0000799850,deterministic_pending_sec_collection
U00733,CRNC,Cerence Inc. - Common Stock,NASDAQ,0001768267,deterministic_pending_sec_collection
U00734,CRNT,Ceragon Networks Ltd. - Ordinary Shares,NASDAQ,0001119769,deterministic_pending_sec_collection
U00735,CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",NASDAQ,0001658247,deterministic_pending_sec_collection
U00736,CRON,Cronos Group Inc. - Common Share,NASDAQ,0001656472,deterministic_pending_sec_collection
U00737,CROX,"Crocs, Inc. - Common Stock",NASDAQ,0001334036,deterministic_pending_sec_collection
U00738,CRSP,CRISPR Therapeutics AG - Common Shares,NASDAQ,0001674416,deterministic_pending_sec_collection
