asset_id,ticker,company_name,exchange,cik,identity_status,enrichment_status,submissions_available,companyfacts_available,basic_concepts_available,available_forms,latest_filing_date,latest_10k_date,latest_10q_date,sec_taxonomies,facts_count,review_reason,evidence_hash,phase
U00002,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,42c6c2648eb4fa3ae22d8aa107ab6d6b2865e3f0ed2f1ae21d550d8d31b12a4c,v2.38E
U00003,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,643d5aa83623e36d08933f9aff023b6346622bf4bfeeea8f8f3d0926e6e37a4c,v2.38E
U00004,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,dac64c627d559b5417aeb3f9a9173aa476243f4582f07261e52beba26d0a5acf,v2.38E
U00005,AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,,US_SEC_NOT_ELIGIBLE,SEC_NOT_ELIGIBLE,false,false,,,,,,,0,company_name_indicates_acquisition_company_or_blank_check,dfdc84838fc227cf091752d99a570b44409279af4822482e7716409ab307609e,v2.38E
U00006,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,b193960d5c5cb0c3c0b4989ba2d901a4dcd05f7c391cad5c663b7659947d6ea7,v2.38E
U00007,AAME,Atlantic American Corporation - Common Stock,NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,f6e96b43055cf662d1ed82db3a4e0da1994a171d036fb9e506916126f253db03,v2.38E
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,a44bb0c60cddbe88517faa9b6b017dc264a0c6c2006613f24f872b300a9af359,v2.38E
U00009,AAON,"AAON, Inc. - Common Stock",NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,a2b394af95e835e2b8cb317c83f968ee319413baccc1e98a785a28483b0647e6,v2.38E
U00010,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,c5124a409be44cec52978c6825a072de98ea1ad8ca837ca13ded958faa6dcb37,v2.38E
U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,01e747c09cc41d80affab80ae7ab2b417e03076a8db96246dabc732ec69e059c,v2.38E
U00012,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,3dcfdfdade30d100dedbd65138651e167b412dba3489a07a2384b19bb8c98253,v2.38E
U00013,ABAT,American Battery Technology Company - Common Stock,NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,fc15def2170ca5cc4e7b19357cbe385e2c0c22f508bc82b49d84095031b1897c,v2.38E
U00014,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,b63f1deb3031e43d2825ff197d60b152f6caace13636766c5aef9e7b633a69ed,v2.38E
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,d355c16896b48464215fabea80bad9bc68af706ae0f099789fa5abb4c1311056,v2.38E
U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,443de7ed296fc0cd91ff9fb10eb3a96ae37bfa42397af226cd98cbba9e347974,v2.38E
U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,52de14c8ab8f333d81bb1529a7352efe46dcee55dec326451f9e5c687e2cf75b,v2.38E
U00018,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,,US_SEC_SOURCE_UNAVAILABLE,SEC_CIK_REVIEW_REQUIRED,false,false,,,,,,,0,SEC company_tickers_exchange cache unavailable; run pilot with --execute and SEC user-agent,6b19fbd053203559b10df8d54e8b23fcdc96fe5313f0ef4936a2d9d17e7ec0b2,v2.38E
