asset_id,ticker,company_name,exchange,price_rows,date_start,date_end,trading_days_1y,adjusted_prices_available,price_feature_quality_status,features_calculated,features_missing,quality_flags,return_1m,return_3m,return_6m,return_12m,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,downside_volatility_6m,avg_volume_1m,avg_volume_3m,momentum_consistency_flag,trend_positive_flag,recent_high_breakout_flag,near_52w_high_flag,recovery_from_drawdown_flag,price_acceleration_flag,liquidity_available_flag,phase
U00007,AAME,Atlantic American Corporation - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.136943,-0.332512,-0.478846,-0.597923,-0.123715,-0.402485,-0.318127,0.672179,0.584905,-0.537634,-0.626087,0.318389,157546.190476,63086.825397,false,false,false,false,false,false,true,v2.38H
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",,671,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.061882,-0.489104,0.084435,3.272314,-0.139207,0.03096,0.197686,1.4143,1.470183,-0.657015,-0.657015,0.732296,11932363.095238,11641311.507937,false,false,false,false,false,false,true,v2.38H
U00011,AAPL,Apple Inc. - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.071551,0.031504,0.23272,0.400577,0.038956,0.148591,0.105525,0.319274,0.272475,-0.127062,-0.13823,0.207207,41894743.380952,54944258.904762,true,true,false,true,false,true,true,v2.38H
U00014,ABCL,AbCellera Biologics Inc. - Common Shares,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.93482,0.840131,2.040431,1.698565,0.393453,1.24746,0.612871,1.151838,0.948684,-0.353448,-0.549433,0.426979,10230200.761905,7762909.777778,true,true,false,true,true,true,true,v2.38H
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,,670,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.064163,0.050967,0.210526,-0.124451,-0.066267,0.092557,0.170095,0.566717,0.520715,-0.215818,-0.4,0.355059,1566365.714286,1383801.269841,false,false,false,false,false,false,true,v2.38H
U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.350649,-0.079646,0.630094,0.229314,0.092919,0.262182,0.154872,0.89064,1.066584,-0.42437,-0.528455,0.562772,33103.619048,63121.84127,false,true,false,false,false,false,true,v2.38H
U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.211796,0.358727,0.372106,0.398491,0.137662,0.318384,0.158854,0.467972,0.397719,-0.104591,-0.172128,0.182708,5738879.095238,4356310.492063,true,true,false,true,false,true,true,v2.38H
U00020,ABTC,American Bitcoin Corp. - Class A Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.317949,6.740964,6.485437,0.001299,0.342294,1.97394,1.215566,28.251047,19.979318,-0.580597,-0.939635,0.594767,1635317.952381,6829753.603175,true,true,false,false,true,false,true,v2.38H
U00021,ABTS,Abits Group Inc - Ordinary Shares,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.445199,-0.422481,-0.404,-0.603723,0.202175,-0.446976,-0.53998,1.368113,2.126554,-0.720275,-0.92074,0.942668,119763.952381,256632.428571,false,false,false,false,false,false,true,v2.38H
U00022,ABUS,Arbutus Biopharma Corporation - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.167431,0.194836,0.085288,0.371968,0.080312,0.13578,0.051344,0.415411,0.428384,-0.178161,-0.258586,0.252338,3939830.380952,2790864.095238,true,true,false,true,true,true,true,v2.38H
U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.128075,0.382958,0.284,0.111581,0.070642,0.184026,0.105903,0.351771,0.366517,-0.131253,-0.275837,0.190231,1732176.428571,1614979.444444,true,true,false,true,true,true,true,v2.38H
U00027,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,,219,2025-10-17,2026-09-01,219,false,PRICE_FEATURES_PARTIAL,19,max_drawdown_12m|return_12m,adjusted_prices_unavailable|less_than_252_sessions,0.292576,1.055556,1.041379,,0.277801,0.385233,0.084076,0.797909,0.691335,-0.196319,,0.345579,41486.619048,449979.666667,true,true,false,false,false,false,true,v2.38H
U00028,ACDC,ProFrac Holding Corp. - Class A Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.214112,-0.316438,-0.003992,0.2475,0.023548,-0.076712,-0.097954,0.960112,0.888152,-0.552109,-0.552109,0.461257,1973365.285714,1624118.587302,false,false,false,false,false,false,true,v2.38H
