batch_id,run_utc,provider,requested,selected,collected,skipped_existing,failed,status,phase9c_authorized,scoring_calculated,ranking_calculated,recommendations_generated
v2_38i_20260902T184843Z,2026-09-02T18:48:43.292729+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T190140Z,2026-09-02T19:01:40.611836+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T191857Z,2026-09-02T19:18:57.224627+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T193318Z,2026-09-02T19:33:18.897687+00:00,twelvedata,5,5,5,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T193512Z,2026-09-02T19:35:12.169018+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T212940Z,2026-09-02T21:29:40.355656+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T213148Z,2026-09-02T21:31:48.449611+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T213151Z,2026-09-02T21:31:51.186776+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T213352Z,2026-09-02T21:33:52.194354+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T213354Z,2026-09-02T21:33:54.283798+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T213554Z,2026-09-02T21:35:54.331179+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T213556Z,2026-09-02T21:35:56.470846+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T213754Z,2026-09-02T21:37:54.752290+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T213757Z,2026-09-02T21:37:57.292671+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T213957Z,2026-09-02T21:39:57.761367+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T213959Z,2026-09-02T21:39:59.951137+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T214159Z,2026-09-02T21:41:59.623401+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
v2_38i_20260902T214202Z,2026-09-02T21:42:02.075348+00:00,twelvedata,1,1,1,0,0,COMPLETED,false,false,false,false
v2_38i_20260902T214358Z,2026-09-02T21:43:58.948382+00:00,twelvedata,25,25,8,0,17,COMPLETED_WITH_ERRORS,false,false,false,false
