asset_id,ticker,company_name,exchange,candidate_matrix_status,fundamental_quality_status,price_quality_status,evidence_level,missing_reason,phase
U00006,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,v2.38J-us-candidate-feature-matrix
U00007,AAME,Atlantic American Corporation - Common Stock,NASDAQ,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,v2.38J-us-candidate-feature-matrix
U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,v2.38J-us-candidate-feature-matrix
U00009,AAON,"AAON, Inc. - Common Stock",NASDAQ,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,v2.38J-us-candidate-feature-matrix
U00011,AAPL,Apple Inc. - Common Stock,NASDAQ,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,v2.38J-us-candidate-feature-matrix
U00012,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,v2.38J-us-candidate-feature-matrix
U00013,ABAT,American Battery Technology Company - Common Stock,NASDAQ,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,v2.38J-us-candidate-feature-matrix
U00014,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,v2.38J-us-candidate-feature-matrix
U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,v2.38J-us-candidate-feature-matrix
U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,v2.38J-us-candidate-feature-matrix
U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,CANDIDATE_MATRIX_READY,FEATURES_READY,PRICE_FEATURES_READY,high,,v2.38J-us-candidate-feature-matrix
U00018,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,v2.38J-us-candidate-feature-matrix
U00019,ABSI,Absci Corporation - Common Stock,NASDAQ,CANDIDATE_MATRIX_PARTIAL_FUNDAMENTALS,FEATURES_PARTIAL,PRICE_FEATURES_READY,medium,fundamental_features_missing_or_partial,v2.38J-us-candidate-feature-matrix
