asset_id,ticker,candidate_matrix_status,score_bucket,scorable,research_rank,experimental_score,quality_notes,phase
U00597,CGEN,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,1,87.3314,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00489,BWFG,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,2,86.9175,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00040,ACNB,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,3,84.0633,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00126,ALAB,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,4,83.8049,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00276,ATEX,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,5,83.3366,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00503,CAC,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,6,80.9777,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00025,ACAD,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,7,80.9259,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00482,BUSE,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,8,80.5503,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00522,CART,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,9,78.7464,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00425,BMRN,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,10,78.0671,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00592,CFFN,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,11,77.9125,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00170,AMGN,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,12,77.8635,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00390,BIIB,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,13,77.6929,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00054,ADEA,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,14,77.2821,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00011,AAPL,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,15,76.5883,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00519,CARE,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,16,76.2259,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00169,AMD,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,17,76.1559,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00214,APPF,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,18,75.9668,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00497,BZ,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,19,75.8547,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00379,BGC,CANDIDATE_MATRIX_READY,INVESTIGATE_HIGH,true,20,75.4173,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00251,ARWR,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,21,74.9964,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00591,CFFI,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,22,74.823,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00165,AMAT,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,23,74.6014,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00599,CGNX,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,24,74.5113,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00606,CHCI,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,25,74.3267,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00312,AVPT,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,26,74.2054,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00372,BELFB,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,27,74.1486,scored_ready_matrix_row,v2.38K-us-experimental-scoring
U00086,AFRM,CANDIDATE_MATRIX_READY,INVESTIGATE_MEDIUM,true,28,73.5754,scored_ready_matrix_row,v2.38K-us-experimental-scoring
