asset_id,ticker,shortlist_rank,research_rank,experimental_score,shortlist_bucket,candidate_matrix_status,quality_status,quality_notes,phase
U00597,CGEN,1,1,87.3314,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00489,BWFG,2,2,86.9175,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00040,ACNB,3,3,84.0633,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00126,ALAB,4,4,83.8049,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00276,ATEX,5,5,83.3366,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00503,CAC,6,6,80.9777,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00025,ACAD,7,7,80.9259,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00482,BUSE,8,8,80.5503,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00522,CART,9,9,78.7464,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00425,BMRN,10,10,78.0671,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00592,CFFN,11,11,77.9125,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00170,AMGN,12,12,77.8635,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00390,BIIB,13,13,77.6929,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00054,ADEA,14,14,77.2821,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00011,AAPL,15,15,76.5883,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00519,CARE,16,16,76.2259,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00169,AMD,17,17,76.1559,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00214,APPF,18,18,75.9668,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00497,BZ,19,19,75.8547,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00379,BGC,20,20,75.4173,SHORTLIST_HIGH_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00251,ARWR,21,21,74.9964,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00591,CFFI,22,22,74.823,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00165,AMAT,23,23,74.6014,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00599,CGNX,24,24,74.5113,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00606,CHCI,25,25,74.3267,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00312,AVPT,26,26,74.2054,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00372,BELFB,27,27,74.1486,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00086,AFRM,28,28,73.5754,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00288,ATRC,29,29,73.2182,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00629,CINF,30,30,72.6654,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00139,ALKS,31,31,72.3619,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00297,AUPH,32,32,72.1181,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00065,ADUS,33,33,72.0959,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00056,ADI,34,34,72.0344,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00371,BELFA,35,35,71.7833,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00504,CACC,36,36,71.6566,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00037,ACIW,37,37,71.4922,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
U00046,ACT,38,38,70.4833,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,SHORTLIST_ROW_READY,complete_scored_row_with_explanation,v2.38L-us-explained-shortlist
